abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite,chebi_accession,SOURCE,name,definition,InChI
860,htaxol,b,63859.0,b,6 Alpha Hydroxy Taxol/ 6 Alpha Hydroxy Paclitaxel,b,b,b,b,b,b,htaxol,[H]O[C@@]([H])(C(=O)O[C@]1([H])C(=C2[C@@]([H])(OC(=O)C([H])([H])[H])C(=O)[C@]3(C([H])([H])[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]4([H])OC([H])([H])[C@@]4(OC(=O)C([H])([H])[H])[C@@]3([H])[C@]([H])(OC(=O)C3=C([H])C([H])=C([H])C([H])=C3[H])[C@](O[H])(C1([H])[H])C2(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])[C@@]([H])(N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H],NDCWHEDPSFRTDA-FJMWQILYSA-N,"InChI=1S/C47H51NO15/c1-24-30(61-43(57)33(51)32(27-16-10-7-11-17-27)48-41(55)28-18-12-8-13-19-28)22-47(58)40(62-42(56)29-20-14-9-15-21-29)36-45(6,38(54)35(60-25(2)49)31(24)44(47,4)5)37(53)34(52)39-46(36,23-59-39)63-26(3)50/h7-21,30,32-37,39-40,51-53,58H,22-23H2,1-6H3,(H,48,55)/t30-,32-,33+,34-,35+,36-,37-,39+,40-,45-,46+,47+/m0/s1",CHEBI:63859,ChEBI,6-hydroxypaclitaxel,A taxane diterpenoid that consists of paclitaxel bearing an additional hydroxy substituent at the 6alpha-position.,"InChI=1S/C47H51NO15/c1-24-30(61-43(57)33(51)32(27-16-10-7-11-17-27)48-41(55)28-18-12-8-13-19-28)22-47(58)40(62-42(56)29-20-14-9-15-21-29)36-45(6,38(54)35(60-25(2)49)31(24)44(47,4)5)37(53)34(52)39-46(36,23-59-39)63-26(3)50/h7-21,30,32-37,39-40,51-53,58H,22-23H2,1-6H3,(H,48,55)/t30-,32-,33+,34-,35+,36-,37-,39+,40-,45-,46+,47+/m0/s1"
861,hx2coa,10018-93-6,28706.0,"Human Metabolome Database (HMDB): trans-Hexenoyl-CoA is an intermediate in fatty acid metabolism. Beta-oxidation occurs in both mitochondria and peroxisomes. Mitochondria catalyze the beta-oxidation of the bulk of short-, medium-, and long-chain fatty acids derived from diet, and this pathway constitutes the major process by which fatty acids are oxidized to generate energy. Peroxisomes are involved in the beta-oxidation chain shortening of long-chain and very-long-chain fatty acyl-coenzyme (CoAs), long-chain dicarboxylyl-CoAs, the CoA esters of eicosanoids, 2-methyl-branched fatty acyl-CoAs, and the CoA esters of the bile acid intermediates di- and trihydroxycoprostanoic acids, and in the process they generate H2O2. Long-chain and very-long-chain fatty acids (VLCFAs) are also metabolized by the cytochrome P450 CYP4A omega-oxidation system to dicarboxylic acids that serve as substrates for peroxisomal beta-oxidation. The peroxisomal beta-oxidation system consists of (a) a classical peroxisome proliferator-inducible pathway capable of catalyzing straight-chain acyl-CoAs by fatty acyl-CoA oxidase, L-bifunctional protein, and thiolase, and (b) a second noninducible pathway catalyzing the oxidation of 2-methyl-branched fatty acyl-CoAs by branched-chain acyl-CoA oxidase (pristanoyl-CoA oxidase/trihydroxycoprostanoyl-CoA oxidase), D-bifunctional protein, and sterol carrier protein (SCP)x.  trans-Hexenoyl-CoA is the substrate of the enzymes enoyl-coenzyme A reductase, acyl-CoA oxidase [EC 1.3.99.2-1.3.3.6], acyl-CoA dehydrogenase, long-chain-acyl-CoA dehydrogenase [EC 1.3.99.3-1.3.99.13], and Oxidoreductases [EC 1.3.99.-]; trans-Hexenoyl-CoA is an intermediate in fatty acid elongation in mitochondria, being the substrate of the enzymes enoyl-CoA hydratase and long-chain-enoyl-CoA hydratase [EC 4.2.1.17-4.2.1.74]. (PMID: 11375435).",trans-2-Hexenoyl-CoA,HMDB0003944,b,b,C05271,b,FDB023263,hx2coa,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,OINXHIBNZUUIMR-IXUYQXAASA-J,"InChI=1S/C27H44N7O17P3S/c1-4-5-6-7-18(36)55-11-10-29-17(35)8-9-30-25(39)22(38)27(2,3)13-48-54(45,46)51-53(43,44)47-12-16-21(50-52(40,41)42)20(37)26(49-16)34-15-33-19-23(28)31-14-32-24(19)34/h6-7,14-16,20-22,26,37-38H,4-5,8-13H2,1-3H3,(H,29,35)(H,30,39)(H,43,44)(H,45,46)(H2,28,31,32)(H2,40,41,42)/p-4/b7-6+/t16-,20-,21-,22+,26-/m1/s1",CHEBI:62077,SUBMITTER,trans-hex-2-enoyl-CoA(4-),An acyl-CoA(4-) arising from deprotonation of the phosphate and diphosphate OH groups of trans-hex-2-enoyl-CoA; major species at pH 7.3.,"InChI=1S/C27H44N7O17P3S/c1-4-5-6-7-18(36)55-11-10-29-17(35)8-9-30-25(39)22(38)27(2,3)13-48-54(45,46)51-53(43,44)47-12-16-21(50-52(40,41)42)20(37)26(49-16)34-15-33-19-23(28)31-14-32-24(19)34/h6-7,14-16,20-22,26,37-38H,4-5,8-13H2,1-3H3,(H,29,35)(H,30,39)(H,43,44)(H,45,46)(H2,28,31,32)(H2,40,41,42)/p-4/b7-6+/t16-,20-,21-,22+,26-/m1/s1"
862,hxan,68-94-0,17368.0,"Human Metabolome Database (HMDB): Hypoxanthine is a naturally occurring purine derivative and a reaction intermediate in the metabolism of adenosine and in the formation of nucleic acids by the salvage pathway. Hypoxanthine is also a spontaneous deamination product of adenine. Lesch-Nyhan disease, an inborn error of metabolism, is caused by deficiency of the purine salvage enzyme hypoxanthine-guanine phosphoribosyltransferase (OMIN 308000). Hypoxanthine is also found to be associated with xanthinuria type 1, which is an inborn error of metabolism.",Hypoxanthine,HMDB0000157,b,b,C00262,HYPOXANTHINE,FDB003949,hxan,[H]N1C([H])=NC2=C1C(=O)N([H])C([H])=N2,FDGQSTZJBFJUBT-UHFFFAOYSA-N,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",CHEBI:17368,ChEBI,hypoxanthine,A purine nucleobase that consists of purine bearing an oxo substituent at position 6.,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)"
863,hxcoa,5060-32-2,27540.0,Human Metabolome Database (HMDB): Fatty acid coenzyme A derivative that can be involved in the biosynthesis and oxidation of fatty acids as well as in ceramide formation.,Hexanoyl-CoA,HMDB0002845,b,b,C05270,1-CARBOXYCYCLOHEXANOYL-COA,FDB023074,hxcoa,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,OEXFMSFODMQEPE-HDRQGHTBSA-J,"InChI=1S/C27H46N7O17P3S/c1-4-5-6-7-18(36)55-11-10-29-17(35)8-9-30-25(39)22(38)27(2,3)13-48-54(45,46)51-53(43,44)47-12-16-21(50-52(40,41)42)20(37)26(49-16)34-15-33-19-23(28)31-14-32-24(19)34/h14-16,20-22,26,37-38H,4-13H2,1-3H3,(H,29,35)(H,30,39)(H,43,44)(H,45,46)(H2,28,31,32)(H2,40,41,42)/p-4/t16-,20-,21-,22+,26-/m1/s1",CHEBI:62620,SUBMITTER,hexanoyl-CoA(4-),An acyl-CoA(4-) oxoanion arising from deprotonation of the phosphate and diphosphate OH groups of hexanoyl-CoA; major species at pH 7.3.,"InChI=1S/C27H46N7O17P3S/c1-4-5-6-7-18(36)55-11-10-29-17(35)8-9-30-25(39)22(38)27(2,3)13-48-54(45,46)51-53(43,44)47-12-16-21(50-52(40,41)42)20(37)26(49-16)34-15-33-19-23(28)31-14-32-24(19)34/h14-16,20-22,26,37-38H,4-13H2,1-3H3,(H,29,35)(H,30,39)(H,43,44)(H,45,46)(H2,28,31,32)(H2,40,41,42)/p-4/t16-,20-,21-,22+,26-/m1/s1"
864,hxdcal,629-80-1,17600.0,Human Metabolome Database (HMDB): Palmitaldehyde is an intermediate in the metabolism of Glycosphingolipid. It is a substrate for Sphingosine-1-phosphate lyase 1.,Palmitaldehyde,HMDB0001551,b,b,C00517,PALMITALDEHYDE,FDB003048,hxdcal,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],NIOYUNMRJMEDGI-UHFFFAOYSA-N,"InChI=1S/C16H32O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h16H,2-15H2,1H3",CHEBI:17600,ChEBI,hexadecanal,y,"InChI=1S/C16H32O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h16H,2-15H2,1H3"
865,hyochol,547-75-1,b,"Human Metabolome Database (HMDB): Hyocholic acid is a bile acid. Bile acids are steroid acids found predominantly in bile of mammals. The distinction between different bile acids is minute, depends only on presence or absence of hydroxyl groups on positions 3, 7, and 12. Bile acids are physiological detergents that facilitate excretion, absorption, and transport of fats and sterols in the intestine and liver. Bile acids are also steroidal amphipathic molecules derived from the catabolism of cholesterol. They modulate bile flow and lipid secretion, are essential for the absorption of dietary fats and vitamins, and have been implicated in the regulation of all the key enzymes involved in cholesterol homeostasis. Bile acids recirculate through the liver, bile ducts, small intestine and portal vein to form an enterohepatic circuit. They exist as anions at physiological pH and, consequently, require a carrier for transport across the membranes of the enterohepatic tissues. The unique detergent properties of bile acids are essential for the digestion and intestinal absorption of hydrophobic nutrients. Bile acids have potent toxic properties (e.g., membrane disruption) and there are a plethora of mechanisms to limit their accumulation in blood and tissues. (PMID: 11316487, 16037564, 12576301, 11907135).",Hyocholic acid,HMDB0000760,b,b,b,b,FDB022229,hyochol,b,DKPMWHFRUGMUKF-KWXDGCAGSA-N,"InChI=1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13-,14-,15-,16+,17+,18+,20+,21-,22+,23-,24-/m1/s1",CHEBI:81244,KEGG COMPOUND,hyocholic acid,"A trihydroxy-5beta-cholanic acid in which the three hydroxy substituents are located at the 3alpha-, 6alpha- and 7alpha-positions.","InChI=1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13-,14-,15-,16+,17+,18+,20+,21-,22+,23-,24-/m1/s1"
866,hyptaur,300-84-5,16668.0,Human Metabolome Database (HMDB): Hypotaurine is a product of enzyme cysteamine dioxygenase [EC 1.13.11.19] in taurine and hypotaurine metabolism pathway (KEGG). It may function as an antioxidant and a protective agent under physiological conditions (PMID 14992269).,Hypotaurine,HMDB0000965,b,b,C00519,HYPOTAURINE,FDB022342,hyptaur,[H][N+]([H])([H])C([H])([H])C([H])([H])S([O-])=O,VVIUBCNYACGLLV-UHFFFAOYSA-N,"InChI=1S/C2H7NO2S/c3-1-2-6(4)5/h1-3H2,(H,4,5)",CHEBI:57853,Rhea,hypotaurine zwitterion,Zwitterionic form of hypotaurine arising from migration of a proton from the sulfonate group to the amino group; major species at pH 7.3.,"InChI=1S/C2H7NO2S/c3-1-2-6(4)5/h1-3H2,(H,4,5)"
867,hyptaur,300-84-5,16668.0,Human Metabolome Database (HMDB): Hypotaurine is a product of enzyme cysteamine dioxygenase [EC 1.13.11.19] in taurine and hypotaurine metabolism pathway (KEGG). It may function as an antioxidant and a protective agent under physiological conditions (PMID 14992269).,Hypotaurine,HMDB0000965,b,b,C00519,HYPOTAURINE,FDB022342,hyptaur,[H][N+]([H])([H])C([H])([H])C([H])([H])S([O-])=O,VVIUBCNYACGLLV-UHFFFAOYSA-N,"InChI=1S/C2H7NO2S/c3-1-2-6(4)5/h1-3H2,(H,4,5)",CHEBI:16668,ChEBI,hypotaurine,An aminosulfinic acid comprising ethylamine having the sulfo group at the 2-position.,"InChI=1S/C2H7NO2S/c3-1-2-6(4)5/h1-3H2,(H,4,5)"
868,i,20461-54-5,16382.0,"Human Metabolome Database (HMDB): Iodide can function as an antioxidant as it is a reducing species that can detoxify reactive oxygen species such as hydrogen peroxide. Over three billion years ago, blue-green algae were the most primitive oxygenic photosynthetic organisms and are the ancestors of multicellular eukaryotic algae (1). Algae that contain the highest amount of iodine (1-3 % of dry weight) and peroxidase enzymes, were the first living cells to produce poisonous oxygen in the atmosphere. Therefore algal cells required a protective antioxidant action of their molecular components, in which iodides, through peroxidase enzymes, seem to have had this specific role. In fact, iodides are greatly present and available in the sea, where algal phytoplankton, the basis of marine food-chain, acts as a biological accumulator of iodides, selenium, (and n-3 fatty acids) :; Antioxidant biochemical mechanism of iodides, probably one of the most ancient mechanisms of defense from poisonous reactive oxygen species:; An iodide ion is an iodine atom with a -1 charge. Compounds with iodine in formal oxidation state -1 are called iodides. This can include ionic compounds such as caesium iodide or covalent compounds such as phosphorus triiodide. This is the same naming scheme as is seen with chlorides and bromides. The chemical test for an iodide compound is to acidify the aqueous compound by adding some drops of acid, to dispel any carbonate ions present, then adding lead(II) nitrate, yielding a bright yellow precipitate of lead iodide. Most ionic iodides are soluble, with the exception of yellow silver iodide and yellow lead iodide. Aqueous solutions of iodide dissolve iodine better than pure water due to the formation of complex ions:.",Iodide,HMDB0012238,b,b,C00708,CPD-387,FDB028881,i,[I-],XMBWDFGMSWQBCA-UHFFFAOYSA-M,InChI=1S/HI/h1H/p-1,CHEBI:16382,ChEBI,iodide,y,InChI=1S/HI/h1H/p-1
869,ibcoa,15621-60-0,15479.0,"Human Metabolome Database (HMDB): Isobutyryl-CoA is a substrate for Acyl-CoA dehydrogenase (short-chain specific, mitochondrial), Acyl-CoA dehydrogenase (medium-chain specific, mitochondrial) and Acyl-CoA dehydrogenase (long-chain specific, mitochondrial).",Isobutyryl-CoA,HMDB0001243,b,b,C00630,ISOBUTYRYL-COA,FDB022508,ibcoa,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,AEWHYWSPVRZHCT-NDZSKPAWSA-J,"InChI=1S/C25H42N7O17P3S/c1-13(2)24(37)53-8-7-27-15(33)5-6-28-22(36)19(35)25(3,4)10-46-52(43,44)49-51(41,42)45-9-14-18(48-50(38,39)40)17(34)23(47-14)32-12-31-16-20(26)29-11-30-21(16)32/h11-14,17-19,23,34-35H,5-10H2,1-4H3,(H,27,33)(H,28,36)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)/p-4/t14-,17-,18-,19+,23-/m1/s1",CHEBI:57338,Rhea,isobutyryl-CoA(4-),"A short chain fatty acyl-CoA(4-) that is the tetraanion of isobutyryl-CoA, arising from deprotonation of phosphate and diphosphate functions.","InChI=1S/C25H42N7O17P3S/c1-13(2)24(37)53-8-7-27-15(33)5-6-28-22(36)19(35)25(3,4)10-46-52(43,44)49-51(41,42)45-9-14-18(48-50(38,39)40)17(34)23(47-14)32-12-31-16-20(26)29-11-30-21(16)32/h11-14,17-19,23,34-35H,5-10H2,1-4H3,(H,27,33)(H,28,36)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)/p-4/t14-,17-,18-,19+,23-/m1/s1"
870,icit,320-77-4,30887.0,Human Metabolome Database (HMDB): The citrate oxidation to isocitrate is catalyzed by the enzyme aconitase. Human prostatic secretion is remarkably rich in citric acid and low aconitase activity will therefore play a significant role in enabling accumulation of high citrate levels (PubMed ID 8115279).,Isocitric acid,HMDB0000193,b,b,C00311,threo-d(s)-iso-citrate,FDB003281,icit,[H]OC([H])(C([O-])=O)C([H])(C([O-])=O)C([H])([H])C([O-])=O,ODBLHEXUDAPZAU-UHFFFAOYSA-K,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)/p-3",CHEBI:16087,ChEBI,isocitrate(3-),Propan-1-ol with a hydrogen at each of the 3 carbon positions substituted with a carboxylate group.,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)/p-3"
871,id3acald,2591-98-2,18086.0,"Human Metabolome Database (HMDB): Indoleacetaldehyde is a substrate for Retina-specific copper amine oxidase, Aldehyde dehydrogenase X (mitochondrial), Amine oxidase B, Amiloride-sensitive amine oxidase, Aldehyde dehydrogenase (mitochondrial), Fatty aldehyde dehydrogenase, 4-trimethylaminobutyraldehyde dehydrogenase, Aldehyde dehydrogenase (dimeric NADP-preferring), Aldehyde dehydrogenase family 7 member A1, Amine oxidase A, Aldehyde dehydrogenase 1A3 and Membrane copper amine oxidase.",Indoleacetaldehyde,HMDB0001190,b,b,C00637,INDOLE_ACETALDEHYDE,FDB013950,id3acald,[H]N1C([H])=C(C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C([H])=O,WHOOUMGHGSPMGR-UHFFFAOYSA-N,"InChI=1S/C10H9NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,6-7,11H,5H2",CHEBI:18086,ChEBI,indol-3-ylacetaldehyde,An indoleacetaldehyde that is acetaldehyde in which one of the methyl hydrogens are replaced by a indol-3-yl group. It is an intermediate metabolite in the metabolism of tryptophan.,"InChI=1S/C10H9NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,6-7,11H,5H2"
872,idour,3402-98-0,24769.0,"Human Metabolome Database (HMDB): Iduronic acid is a constituent of glycosaminoglycans heparin and heparan sulfate in varying proportions providing considerable diversity in sequence and biological function. The glycosaminoglycans (GAGs) are linear polysaccharides with alternating uronic acids (Iduronic acid and Glucuronic acid) and hexosamine residues, in which a limited set of monosaccharide units gives rise to a number of complex sequences by variable substitution with O-sulfate, N-sulfate, and N-acetyl groups. GAGs usually exist as the O-linked side-chains of proteoglycans, displaying a set of physiological functions which is remarkably wide and as yet incompletely explored. They may act as structural components of connective tissue and the extracellular matrix, or as specific ligands in the relationship between the cell surface and its surroundings. Heparan sulfate exists on the surface of most or all mammalian cells and can display a remarkable range of different sequence motifs; its range of interactions and possible functions reflect its structural complexity. The main repeat unit of heparin structurally resembles the protein binding sequences in heparan sulfate, but contains a higher percentage of sulfated residues. Utilized therapeutically as an anticoagulant and readily available in good quantities heparin serves as a useful model for heparan sulfate. Theoretical and experimental studies indicate that L-Iduronic acid residues of glycosaminoglycans are in equilibrium of different conformations, the relative proportion of conformers being a function of sulfation pattern and sequence. This unique conformational flexibility may provide an explanation for the stronger binding and associated higher biological activities of Iduronic acid-containing glycosaminoglycans (such as heparin, heparan sulfate and dermatan sulfate) as compared with other GAGs having similar charge density but with the more rigid glucuronic acid as the major uronic acid residue. Dermatan sulfates and heparins, which contain L-Iduronic acid in their backbone, show higher low-density lipoprotein (LDL)-affinity than chondroitin sulfates, which contain only D-glucuronic acid. Though confirming a non-specific, predominantly electrostatic interaction between GAGs and LDL, these results indicate modulation of LDL affinity by the polysaccharide backbone. Naturally oversulfated dermatan sulfate (SO3H/COOH ca. 1.2), mainly oversulfated at C-2 of Iduronic acid residues, show comparatively higher anticoagulant activity. (PMID: 3076283, 8466951, 8542607, 11087707).",Iduronic acid,HMDB0002704,b,b,C06472,CPD-12,FDB023047,idour,[H]O[C@@]([H])(C([H])=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([O-])=O,IAJILQKETJEXLJ-SKNVOMKLSA-M,"InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h1-5,8-11H,(H,12,13)/p-1/t2-,3+,4-,5+/m0/s1",CHEBI:21338,Chemical Ontology,aldehydo-L-iduronate,"An iduronate that is the conjugate base of aldehydo-L-iduronic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.","InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h1-5,8-11H,(H,12,13)/p-1/t2-,3+,4-,5+/m0/s1"
873,idp,86-04-4,17808.0,Human Metabolome Database (HMDB): IDP is an inosine nucleotide containing a pyrophosphate group esterified to C5 of the sugar moiety.,IDP,HMDB0003335,b,b,C00104,IDP,FDB023146,idp,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP([O-])(=O)OP([O-])([O-])=O)[C@@]1([H])O[H])N1C([H])=NC2=C1N=C([H])N([H])C2=O,JPXZQMKKFWMMGK-KQYNXXCUSA-K,"InChI=1S/C10H14N4O11P2/c15-6-4(1-23-27(21,22)25-26(18,19)20)24-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,21,22)(H,11,12,17)(H2,18,19,20)/p-3/t4-,6-,7-,10-/m1/s1",CHEBI:58280,Rhea,IDP(3-),A nucleoside 5'-diphosphate(3-) arising from deprotonation of all three OH groups of the diphosphate function of of inosine 5'-diphosphate (IDP); major species at pH 7.3.,"InChI=1S/C10H14N4O11P2/c15-6-4(1-23-27(21,22)25-26(18,19)20)24-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,21,22)(H,11,12,17)(H2,18,19,20)/p-3/t4-,6-,7-,10-/m1/s1"
874,ile_L,73-32-5,17191.0,"Human Metabolome Database (HMDB): Branched chain amino acids (BCAA) are essential amino acids whose carbon structure is marked by a branch point. These three amino acids are critical to human life and are particularly involved in stress, energy and muscle metabolism. BCAA supplementation as therapy, both oral and intravenous, in human health and disease holds great promise. ""BCAA"" denotes valine, isoleucine and leucine which are branched chain essential amino acids. Despite their structural similarities, the branched amino acids have different metabolic routes, with valine going solely to carbohydrates, leucine solely to fats and isoleucine to both. The different metabolism accounts for different requirements for these essential amino acids in humans: 12 mg/kg, 14 mg/kg and 16 mg/kg of valine, leucine and isoleucine respectively. Furthermore, these amino acids have different deficiency symptoms. Valine deficiency is marked by neurological defects in the brain, while isoleucine deficiency is marked by muscle tremors. BCAA are decreased in patients with liver disease, such as hepatitis, hepatic coma, cirrhosis, extrahepatic biliary atresia or portacaval shunt; aromatic amino acids (AAA)-tyrosine, tryptophan and phenylalanine, as well as methionine-are increased in these conditions. Valine, in particular, has been established as a useful supplemental therapy to the ailing liver. All the BCAA probably compete with AAA for absorption into the brain. Supplemental BCAA with vitamin B6 and zinc help normalize the BCAA:AAA ratio. The BCAA are not without side effects. Leucine alone, for example, exacerbates pellagra and can cause psychosis in pellagra patients by increasing excretion of niacin in the urine. Leucine may lower brain serotonin and dopamine. A dose of 3 g of isoleucine added to the niacin regime has cleared leucine-aggravated psychosis in schizophrenic patients. Isoleucine may have potential as an antipsychotic treatment. Leucine is more highly concentrated in foods than other amino acids. A cup of milk contains 800 mg of leucine and only 500 mg of isoleucine and valine. A cup of wheat germ has about 1.6 g of leucine and 1 g of isoleucine and valine. The ratio evens out in eggs and cheese. One egg and an ounce of most cheeses each contain about 400 mg of leucine and 400 mg of valine and isoleucine. The ratio of leucine to other BCAA is greatest in pork, where leucine is 7 to 8 g and the other BCAA together are only 3 to 4 g (http://www.dcnutrition.com). Moreover, L-isoleucine is found to be associated with maple syrup urine disease, which is an inborn error of metabolism.",L-Isoleucine,HMDB0000172,b,b,C00407,ILE,FDB012397,ile_L,[H]C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],AGPKZVBTJJNPAG-WHFBIAKZSA-N,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",CHEBI:58045,Rhea,L-isoleucine zwitterion,An L-alpha-amino acid zwitterion obtained by transfer of a proton from the carboxy to the amino group of L-isoleucine; major species at pH 7.3.,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1"
