chebi,name,definition,compound_id,type,accession_number,abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite
1220,31966,pelargonidin 3-O-(6-O-caffeoyl-beta-D-glucoside) 5-O-beta-D-glucoside,a,37166,KEGG COMPOUND accession,C00707,,,,,,,,,,,,,,,
1221,31968,pelargonidin 3-O-rutinoside,An anthocyanin cation consisting of pelargonidin having a rutinosyl [6-deoxy-alpha-L-mannosyl-(1->6)-beta-D-glucosyl] residue attached at the 3-hydroxy position.,17151,KEGG COMPOUND accession,C00379,xylt,87-99-0,1305691.0,"Human Metabolome Database (HMDB): Xylitol is a five-carbon sugar alcohol that is obtained through the diet. It is not endogenously produced by humans. Xylitol is used as a diabetic sweetener which is roughly as sweet as sucrose with 33% fewer calories. Xylitol is naturally found in many fruits (strawberries, plums, raspberries) and vegetables (e.g. cauliflower). Because of fruit and vegetable consumption the human body naturally processes 15 grams of xylitol per day. Xylitol can be produced industrially starting from primary matters rich in xylan which is hydrolyzed to obtain xylose. It is extracted from hemicelluloses present in the corn raids, the almond hulls or the barks of birch (or of the by-products of wood: shavings hard, paper pulp). Of all polyols, it is the one that has the sweetest flavor (it borders that of saccharose). It gives a strong refreshing impression, making xylitol an ingredient of choice for the sugarless chewing gum industry. In addition to his use in confectionery, it is used in the pharmaceutical industry for certain mouthwashes and toothpastes and in cosmetics (creams, soaps, etc.). Xylitol is produced starting from xylose, the isomaltose, by enzymatic transposition of the saccharose (sugar). Xylitol is not metabolized by cariogenic (cavity-causing) bacteria and gum chewing stimulates the flow of saliva; as a result, chewing xylitol gum may prevent dental caries. Chewing xylitol gum for 4 to 14 days reduces the amount of dental plaque. The reduction in the amount of plaque following xylitol gum chewing within 2 weeks may be a transient phenomenon. Chewing xylitol gum for 6 months reduced mutans streptococci levels in saliva and plaque in adults (PMID: 17426399 , 15964535 ). Studies have also shown xylitol chewing gum can help prevent acute otitis media (ear aches and infections) as the act of chewing and swallowing assists with the disposal of earwax and clearing the middle ear, while the presence of xylitol prevents the growth of bacteria in the eustachian tubes. Xylitol is well established as a life-threatening toxin to dogs. The number of reported cases of xylitol toxicosis in dogs has significantly increased since the first reports in 2002. Dogs that have ingested foods containing xylitol (greater than 100 milligrams of xylitol consumed per kilogram of bodyweight) have presented with low blood sugar (hypoglycemia), which can be life-threatening. Xylitol is found to be associated with ribose-5-phosphate isomerase deficiency, which is an inborn error of metabolism.",D-Xylitol,HMDB0002917,b,b,C00379,CPD-496,FDB001134,xylt,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],HEBKCHPVOIAQTA-SCDXWVJYSA-N,"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5+"
1222,33052,1H-inden-1-ylidene,A carbene that is derived from 1H-indene.,17262,KEGG COMPOUND accession,C03034,,,,,,,,,,,,,,,
1223,33054,2H-indene,a,28504,KEGG COMPOUND accession,C06017,,,,,,,,,,,,,,,
1224,33055,4H-indene,a,16081,KEGG COMPOUND accession,C03442,,,,,,,,,,,,,,,
1225,33059,"benzene-1,3,5-tricarboxylate(3-)",a,15848,KEGG COMPOUND accession,C02097,M01750,5817-97-0,14086.0,Human Metabolome Database (HMDB): dTDP-D-galactose is an intermediate involved in nucleotide sugar metabolism. It can be generated by dTDP-D-glucose through the action of the enzyme UDP-glucose 4-epimerase.,dTDP-D-galactose,HMDB0006876,b,b,C02097,b,FDB024130,b,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(N3C([H])=C(C(=O)N([H])C3=O)C([H])([H])[H])C([H])([H])[C@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],YSYKRGRSMLTJNL-OAOVJFGZSA-N,"InChI=1S/C16H26N2O16P2/c1-6-3-18(16(25)17-14(6)24)10-2-7(20)9(31-10)5-30-35(26,27)34-36(28,29)33-15-13(23)12(22)11(21)8(4-19)32-15/h3,7-13,15,19-23H,2,4-5H2,1H3,(H,26,27)(H,28,29)(H,17,24,25)/t7-,8+,9+,10+,11-,12-,13+,15+/m0/s1"
1226,33068,1H-indol-7-amine,a,17013,KEGG COMPOUND accession,C00364,dtmp,365-07-1,17013.0,"Human Metabolome Database (HMDB): 5-Thymidylic acid is a thymine nucleotide. Also known as thymidine monophosphate, and abbreviated TMP, is a nucleotide that is found in DNA. It is an ester of phosphoric acid with the nucleoside thymidine. TMP consists of a phosphate group, esterified to the the pentose sugar deoxyribose moiety, and the nucleobase thymine. In mammalian cells, thymidine deprivation induces chromosome aberrations such as chromatid breaks, chromatid interchanges, and chromosome fragmentation. (PMID 3888175).",5-Thymidylic acid,HMDB0001227,b,b,C00364,TMP,FDB022499,dtmp,[H]O[C@@]1([H])C([H])([H])[C@@]([H])(O[C@]1([H])C([H])([H])OP([O-])([O-])=O)N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H],GYOZYWVXFNDGLU-XLPZGREQSA-L,"InChI=1S/C10H15N2O8P/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(20-8)4-19-21(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,11,14,15)(H2,16,17,18)/p-2/t6-,7+,8+/m0/s1"
1227,30626,molybdenum trichloride,a,9662,KEGG COMPOUND accession,C08463,,,,,,,,,,,,,,,
1228,30628,"1,2-phenylenebis(dimethylarsane)",a,28409,KEGG COMPOUND accession,C08392,,,,,,,,,,,,,,,
1229,30630,propylenediamine,A diamine that is propane substituted by amino groups at positions 1 and 2. Propylenediamine is commonly used as a bidentate ligand in the formation of coordination complexes.,17855,KEGG COMPOUND accession,C00422,M02956,b,17855.0,b,Tags-Chylomicron-Pool,b,b,b,C00422,b,b,M02956,[H]C([H])(OC([*])=O)C([H])(OC([*])=O)C([H])([H])OC([*])=O,b,b
1230,30630,propylenediamine,A diamine that is propane substituted by amino groups at positions 1 and 2. Propylenediamine is commonly used as a bidentate ligand in the formation of coordination complexes.,17855,KEGG COMPOUND accession,C00422,M02957,b,b,"Human Metabolome Database (HMDB): TG(16:0/16:0/18:0) is a dipalmitic acid triglyceride. Triglycerides (TGs) are also known as triacylglycerols or triacylglycerides, meaning that they are glycerides in which the glycerol is esterified with three fatty acid groups (i.e. fatty acid tri-esters of glycerol). TGs may be divided into three general types with respect to their acyl substituents. They are simple or monoacid if they contain only one type of fatty acid, diacid if they contain two types of fatty acids and triacid if three different acyl groups. Chain lengths of the fatty acids in naturally occurring triglycerides can be of varying lengths and saturations but 16, 18 and 20 carbons are the most common. TG(16:0/16:0/18:0), in particular, consists of one chain of palmitic acid at the C-1 position, one chain of palmitic acid at the C-2 position and one chain of stearic acid at the C-3 position. TGs are the main constituent of vegetable oil and animal fats. TGs are major components of very low density lipoprotein (VLDL) and chylomicrons, play an important role in metabolism as energy sources and transporters of dietary fat. They contain more than twice the energy (9 kcal/g) of carbohydrates and proteins. In the intestine, triglycerides are split into glycerol and fatty acids (this process is called lipolysis) with the help of lipases and bile secretions, which can then move into blood vessels. The triglycerides are rebuilt in the blood from their fragments and become constituents of lipoproteins, which deliver the fatty acids to and from fat cells among other functions. Various tissues can release the free fatty acids and take them up as a source of energy. Fat cells can synthesize and store triglycerides. When the body requires fatty acids as an energy source, the hormone glucagon signals the breakdown of the triglycerides by hormone-sensitive lipase to release free fatty acids. As the brain cannot utilize fatty acids as an energy source, the glycerol component of triglycerides can be converted into glucose for brain fuel when it is broken down. (www.cyberlipid.org, www.wikipedia.org)TAGs can serve as fatty acid stores in all cells, but primarily in adipocytes of adipose tissue. The major building block for the synthesis of triacylglycerides, in non-adipose tissue, is glycerol. Adipocytes lack glycerol kinase and so must use another route to TAG synthesis. Specifically, dihydroxyacetone phosphate (DHAP), which is produced during glycolysis, is the precursor for TAG synthesis in adipose tissue. DHAP can also serve as a TAG precursor in non-adipose tissues, but does so to a much lesser extent than glycerol. The use of DHAP for the TAG backbone depends on whether the synthesis of the TAGs occurs in the mitochondria and ER or the ER and the peroxisomes. The ER/mitochondria pathway requires the action of glycerol-3-phosphate dehydrogenase to convert DHAP to glycerol-3-phosphate. Glycerol-3-phosphate acyltransferase then esterifies a fatty acid to glycerol-3-phosphate thereby generating lysophosphatidic acid. The ER/peroxisome reaction pathway uses the peroxisomal enzyme DHAP acyltransferase to acylate DHAP to acyl-DHAP which is then reduced by acyl-DHAP reductase. The fatty acids that are incorporated into TAGs are activated to acyl-CoAs through the action of acyl-CoA synthetases. Two molecules of acyl-CoA are esterified to glycerol-3-phosphate to yield 1,2-diacylglycerol phosphate (also known as phosphatidic acid). The phosphate is then removed by phosphatidic acid phosphatase (PAP1), to generate 1,2-diacylglycerol. This diacylglycerol serves as the substrate for addition of the third fatty acid to make TAG. Intestinal monoacylglycerols, derived from dietary fats, can also serve as substrates for the synthesis of 1,2-diacylglycerols.",TG(16:0/16:0/18:0),HMDB0005357,b,b,C00422,Triacylglycerols,FDB023637,b,[H]C([H])(OC([*])=O)C([H])(OC([*])=O)C([H])([H])OC([*])=O,DQKMNCLZNGAXNX-DPDRHGIRSA-N,b
1231,30630,propylenediamine,A diamine that is propane substituted by amino groups at positions 1 and 2. Propylenediamine is commonly used as a bidentate ligand in the formation of coordination complexes.,17855,KEGG COMPOUND accession,C00422,M02958,b,17855.0,b,Triacylglycerol-Ld-Pool,b,b,b,C00422,b,b,b,[H]C([H])(OC([*])=O)C([H])(OC([*])=O)C([H])([H])OC([*])=O,b,b
1232,32041,pratosartan,a,10115,KEGG COMPOUND accession,C09750,,,,,,,,,,,,,,,
1233,32049,premithramycin A3',A tetracenomycin that is an intermediate in the biosynthesis of the antitumour drug mithramycin by Streptomyces argillaceus.,10119,KEGG COMPOUND accession,C07568,,,,,,,,,,,,,,,
1234,30251,pentacarbonyliron,a,9506,KEGG COMPOUND accession,C11692,,,,,,,,,,,,,,,
1235,33079,biphenylene,a,18077,KEGG COMPOUND accession,C00459,dttp,365-08-2,18077.0,"Human Metabolome Database (HMDB): Thymidine triphosphate or TTP is one of the four nucleoside triphosphates that make up DNA. It can be used by DNA ligase to create overlapping ""sticky ends"" so that protruding ends of opened microbial plasmids maybe closed up.",Thymidine 5'-triphosphate,HMDB0001342,b,b,C00459,TTP,FDB022565,dttp,[H]O[C@@]1([H])C([H])([H])[C@@]([H])(O[C@]1([H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H],NHVNXKFIZYSCEB-XLPZGREQSA-J,"InChI=1S/C10H17N2O14P3/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(24-8)4-23-28(19,20)26-29(21,22)25-27(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,19,20)(H,21,22)(H,11,14,15)(H2,16,17,18)/p-4/t6-,7+,8+/m0/s1"
1236,33095,rubicene,a,17622,KEGG COMPOUND accession,C00365,dump,964-26-1,17622.0,"Human Metabolome Database (HMDB): dUMP is formed by the reduction of ribonucleotides to deoxyribonucleotides by ribonucleoside diphosphate reductase [EC 1.17.4.1]. dUMP by the action of by thymidylate synthetase [EC 2.1.1.45] produces dTMP (5,10-Methylene-5,6,7,8-tetrahydrofolate is a cofactor for the reaction). The nuclear form of uracil-DNA glycosylase (UNG2), that its major role is to remove misincorporated dUMP residues (cells deficient in removal of misincorporated dUMP accumulate uracil residues). (PMID 11554311).",dUMP,HMDB0001409,b,b,C00365,DUMP,FDB022604,dump,[H]O[C@@]1([H])C([H])([H])[C@@]([H])(O[C@]1([H])C([H])([H])OP([O-])([O-])=O)N1C([H])=C([H])C(=O)N([H])C1=O,JSRLJPSBLDHEIO-SHYZEUOFSA-L,"InChI=1S/C9H13N2O8P/c12-5-3-8(11-2-1-7(13)10-9(11)14)19-6(5)4-18-20(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,10,13,14)(H2,15,16,17)/p-2/t5-,6+,8+/m0/s1"
1237,31243,atazanavir sulfate,a,18199,KEGG COMPOUND accession,C04882,,,,,,,,,,,,,,,
1238,31255,bekanamycin sulfate,a,9837,KEGG COMPOUND accession,C04700,,,,,,,,,,,,,,,
1239,31263,bentiromide,"The dipeptide obtained by condensation of N-benzoyl-L-tyrosine with 4-aminobenzoic acid. Used as a noninvasive screening test for exocrine pancreatic insufficiency and to monitor the adequacy of supplemental pancreatic therapy, it is given by mouth: the amount of 4-aminobenzoic acid and its metabolites excreted in the urine is taken as a measure of the chymotrypsin-secreting activity of the pancreas.",17297,KEGG COMPOUND accession,C05227,,,,,,,,,,,,,,,
1240,33114,disulfane,a,28496,KEGG COMPOUND accession,C05556,,,,,,,,,,,,,,,
1241,33115,iodine(.),a,28130,KEGG COMPOUND accession,C05958,,,,,,,,,,,,,,,
1242,33116,iodine(1+),a,27705,KEGG COMPOUND accession,C08586,,,,,,,,,,,,,,,
1243,33310,neon atom,a,28122,KEGG COMPOUND accession,C06578,,,,,,,,,,,,,,,
1244,33313,polonium atom,"A radioactive metallic element discovered in 1898 by Marie Sklodowska Curie and named after her home country, Poland (Latin Polonia).",27628,KEGG COMPOUND accession,C06576,,,,,,,,,,,,,,,
1245,33316,helium(2+),a,28671,KEGG COMPOUND accession,C06577,,,,,,,,,,,,,,,
1246,33320,actinoid atom,a,28768,KEGG COMPOUND accession,C06575,,,,,,,,,,,,,,,
1247,33017,diphosphate(1-),A monovalent inorganic anion obtained by deprotonation of one of the phosphate OH groups in diphosphoric acid.,28511,KEGG COMPOUND accession,C06620,,,,,,,,,,,,,,,
1248,33026,[Eu(ep-atta)](-),a,15952,KEGG COMPOUND accession,C04268,,,,,,,,,,,,,,,
1249,33030,tetracarbonylchromium,a,16128,KEGG COMPOUND accession,C00687,,,,,,,,,,,,,,,
1250,33035,tris(acetylacetonato)chromium,a,15744,KEGG COMPOUND accession,C00688,dtdp4d6dm,b,15744.0,b,Dtdp-4-Dehydro-6-Deoxy-L-Mannose,b,b,b,C00688,b,b,b,[H]O[C@@]1([H])C([H])([H])[C@@]([H])(O[C@]1([H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC1([H])O[C@]([H])(C(=O)[C@@]([H])(O[H])[C@@]1([H])O[H])C([H])([H])[H])N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H],PSXWNITXWWECNY-WPTIAVDBSA-L,"InChI=1S/C16H24N2O15P2/c1-6-4-18(16(24)17-14(6)23)10-3-8(19)9(31-10)5-29-34(25,26)33-35(27,28)32-15-13(22)12(21)11(20)7(2)30-15/h4,7-10,12-13,15,19,21-22H,3,5H2,1-2H3,(H,25,26)(H,27,28)(H,17,23,24)/p-2/t7-,8-,9+,10+,12+,13+,15?/m0/s1"
1251,33041,chromium pentafluoride,a,28176,KEGG COMPOUND accession,C06622,,,,,,,,,,,,,,,
1252,33042,pentafluorochromate(1-),a,27498,KEGG COMPOUND accession,C06623,,,,,,,,,,,,,,,
1253,33045,hexafluorochromate(3-),a,15774,KEGG COMPOUND accession,C03319,dtdprmn,2147-59-3,35452.0,"Human Metabolome Database (HMDB): Deoxythymidine diphosphate (dTDP)-l-rhamnose is the precursor of l-rhamnose, a saccharide required for the virulence of some pathogenic bacteria. In gram negative bacteria such as Salmonella enterica, Vibrio cholerae or Escherichia coli 075:K5, l-rhamnose is an important residue in the O-antigen of lipopolysaccharides, which are essential for resistance to serum killing and for colonization. In gram positive bacteria, such as streptococci, the capsule is a recognized virulence factor, for example, l-rhamnose is known to be present in the capsule of Streptococcus suis, a causative agent of meningitis in humans. In Streptococcus mutans, l-rhamnose containing polysaccharides have been implicated in tooth surface colonization and adherence to kidney, muscle and heart tissues. In mycobacteria, l-rhamnose is fundamental to the structural integrity of the cell wall since it connects the inner peptidoglycan layer to the arabinogalactan polysaccharides. dTDP-l-rhamnose is synthesized from glucose-1-phosphate and deoxythymidine triphosphate (dTTP) via a pathway involving four distinct enzymes. Whereas common sugars such as glucose, fructose and mannose are all D-configured, bacteria commonly utilize the L-configured carbohydrates in pharmacologically active compounds and in their cell-wall structures. The bacterial cell wall is unique to bacteria; neither the cell wall nor the enzymes and chemical intermediates in its formation have analogues in humans. The enzymes involved in dTDP-l-rhamnose synthesis are potential targets for the design of new therapeutic agents. (PMID: 10802738, 12773151).",Deoxythymidine diphosphate-l-rhamnose,HMDB0006354,b,b,C03319,DTDP-RHAMNOSE,FDB023902,b,[H]O[C@@]1([H])C([H])([H])[C@@]([H])(O[C@]1([H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC1([H])O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H])N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H],ZOSQFDVXNQFKBY-CZRCVJRHSA-L,"InChI=1S/C16H26N2O15P2/c1-6-4-18(16(24)17-14(6)23)10-3-8(19)9(31-10)5-29-34(25,26)33-35(27,28)32-15-13(22)12(21)11(20)7(2)30-15/h4,7-13,15,19-22H,3,5H2,1-2H3,(H,25,26)(H,27,28)(H,17,23,24)/p-2/t7-,8-,9+,10+,11-,12+,13+,15?/m0/s1"
1254,31159,aceclofenac,"A monocarboxylic acid that is the carboxymethyl ester of diclofenac. A non-steroidal anti-inflammatory drug related to diclofenac, it is used in the management of osteoarthritis, rheumatoid arthritis, and ankylosing spondylitis.",15886,KEGG COMPOUND accession,C04573,,,,,,,,,,,,,,,
1255,32375,petroselinate,An unsaturated fatty acid anion resulting from the deprotonation of the carboxy group of petroselinic acid. The major species at pH 7.3.,17665,KEGG COMPOUND accession,C00668,,,,,,,,,,,,,,,
1256,33127,sulfadiazinate,a,10545,KEGG COMPOUND accession,C05359,,,,,,,,,,,,,,,
1257,33129,di-mu-bromidobis(dibromidoaluminium),a,27997,KEGG COMPOUND accession,C01712,,,,,,,,,,,,,,,
1258,33133,phospholane,a,32815,KEGG COMPOUND accession,C02763,M00647,5801-57-0,16815.0,"Human Metabolome Database (HMDB): Enol-phenylpyruvate is reversibly produced from keto-phenylpyruvate, a reaction catalyzed by phenylpyruvate tautomerase [EC:5.3.2.1]. Phenylpyruvate tautomerase, also known as macrophage migration inhibitory factor (glycosylation-inhibiting factor), is involved in the tyrosine and phenylalanine metabolism pathways.",Enol-phenylpyruvate,HMDB0012225,b,b,C02763,ENOL-PHENYLPYRUVATE,FDB028869,b,[H]OC(=O)C(\O[H])=C(/[H])C1=C([H])C([H])=C([H])C([H])=C1[H],DEDGUGJNLNLJSR-VURMDHGXSA-N,"InChI=1S/C9H8O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-6,10H,(H,11,12)/b8-6-"
1259,33140,pyrazolium,a,10552,KEGG COMPOUND accession,C09566,,,,,,,,,,,,,,,
1260,33146,vanadyl sulfate,a,28579,KEGG COMPOUND accession,C06593,,,,,,,,,,,,,,,
1261,33148,pentacene,An acene that consists of five ortho-fused benzene rings in a rectilinear arrangement.,10556,KEGG COMPOUND accession,C10289,,,,,,,,,,,,,,,
1262,33150,hexahelicene,a,17576,KEGG COMPOUND accession,C03961,,,,,,,,,,,,,,,
1263,33153,heptahelicene,a,28474,KEGG COMPOUND accession,C05715,,,,,,,,,,,,,,,
1264,33156,heptacene,An acene that consists of seven ortho-fused benzene rings in a rectilinear arrangement.,27740,KEGG COMPOUND accession,C05435,,,,,,,,,,,,,,,
1265,33161,cis-obtusilate,"A medium-chain fatty acid anion and the conjugate base of obtusilic acid, arising from deprotonation of the carboxylic acid group.",28776,KEGG COMPOUND accession,C05695,,,,,,,,,,,,,,,
1266,33165,octacene,a,10565,KEGG COMPOUND accession,C05711,HC01577,b,10565.0,Human Metabolome Database (HMDB): This compound belongs to the family of N-acyl-Alpha Amino Acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon). ,gamma-Glutamyl-beta-cyanoalanine,HMDB0060478,b,b,C05711,b,b,HC01577,[H]N(C(=O)C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H])[C@]([H])(C([O-])=O)C([H])([H])C#N,QUAADUAOVLZBJM-WDSKDSINSA-M,"InChI=1S/C9H13N3O5/c10-4-3-6(9(16)17)12-7(13)2-1-5(11)8(14)15/h5-6H,1-3,11H2,(H,12,13)(H,14,15)(H,16,17)/p-1/t5-,6-/m0/s1"
1267,33170,nonacene,An acene that consists of nine ortho-fused benzene rings in a rectilinear arrangement.,32888,KEGG COMPOUND accession,C06595,,,,,,,,,,,,,,,
1268,33172,octaphenylene,a,47815,KEGG COMPOUND accession,C08284,,,,,,,,,,,,,,,
1269,33174,tetrafluoromagnesate(2-),a,16834,KEGG COMPOUND accession,C03738,,,,,,,,,,,,,,,
1270,33176,octogen,"A tetrazocane that is 1,3,5,7-tetrazocane in which the hydrogen atom attached to each of the nitrogens is replaced by a nitro group.",17515,KEGG COMPOUND accession,C00669,glucys,636-58-8,17515.0,"Human Metabolome Database (HMDB): gamma-Glutamylcysteine is a dipeptide composed of gamma-glutamate and cysteine, and is a proteolytic breakdown product of larger proteins. It belongs to the family of N-acyl-alpha amino acids and derivatives. These are compounds containing an alpha amino acid which bears an acyl group at its terminal nitrogen atom. gamma-Glutamylcysteine is an incomplete breakdown product of protein digestion or protein catabolism. Some dipeptides are known to have physiological or cell-signaling effects although most are simply short-lived intermediates on their way to specific amino acid degradation pathways following further proteolysis. gamma-Glutamylcysteine is a product of enzyme glutamate-cysteine ligase [EC 6.3.2.2] and a substrate of enzyme glutathione synthase [EC 6.3.2.3] in the glutamate metabolism pathway (KEGG).",gamma-Glutamylcysteine,HMDB0001049,b,b,C00669,L-GAMMA-GLUTAMYLCYSTEINE,FDB003603,glucys,[H]SC([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H])C([O-])=O,RITKHVBHSGLULN-WHFBIAKZSA-M,"InChI=1S/C8H14N2O5S/c9-4(7(12)13)1-2-6(11)10-5(3-16)8(14)15/h4-5,16H,1-3,9H2,(H,10,11)(H,12,13)(H,14,15)/p-1/t4-,5-/m0/s1"
1271,32590,barium sulfide,a,15507,KEGG COMPOUND accession,C02335,,,,,,,,,,,,,,,
1272,32592,barium dihydroxide,a,28712,KEGG COMPOUND accession,C05340,,,,,,,,,,,,,,,
1273,32595,barium(0),a,27749,KEGG COMPOUND accession,C05341,,,,,,,,,,,,,,,
1274,32598,calcium diphosphate,a,18323,KEGG COMPOUND accession,C01262,,,,,,,,,,,,,,,
1275,33268,monoatomic nitrogen,a,18384,KEGG COMPOUND accession,C03546,mi4p_D,46495-39-0,18384.0,"Human Metabolome Database (HMDB): D-Myo-inositol 4-phosphate is a substrate for Inositol monophosphatase, Inositol polyphosphate 1-phosphatase and Inositol monophosphatase 2.",D-Myo-inositol 4-phosphate,HMDB0001313,b,b,C03546,D-MYO-INOSITOL-4-PHOSPHATE,FDB022548,mi4p_D,[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(OP([O-])([O-])=O)[C@]([H])(O[H])[C@@]1([H])O[H],INAPMGSXUVUWAF-CNWJWELYSA-L,"InChI=1S/C6H13O9P/c7-1-2(8)4(10)6(5(11)3(1)9)15-16(12,13)14/h1-11H,(H2,12,13,14)/p-2/t1-,2-,3-,4+,5-,6-/m0/s1"
1276,33272,ketimine,Any imine derived from a ketone.,17401,KEGG COMPOUND accession,C01204,minohp,83-86-3,17401.0,"Human Metabolome Database (HMDB): Myo-Inositol hexakisphosphate is an intermediate in inositol phosphate metabolism. It can be generated from D-myo-Inositol 1,3,4,5,6-pentakisphosphate via the enzyme inositol-pentakisphosphate 2-kinase (EC:2.7.1.158). Myo-Inositol hexakisphosphate is also known as phytic acid. It can be used clinically as a complexing agent for removal of traces of heavy metal ions. It acts also as a hypocalcemic agent. Phytic acid is a strong chelator of important minerals such as calcium, magnesium, iron and zinc and can therefore contribute to mineral deficiencies in developing countries. For people with a particularly low intake of essential minerals, especially young children and those in developing countries, this effect can be undesirable. However, dietary mineral chelators help prevent over-mineralization of joints, blood vessels, and other parts of the body, which is most common in older persons. The Journal of Environmental Nutrition (April 2004 volume 27 issue 4) has also stated phytic acid may be considered a phytonutrient, providing an antioxidant effect.",Myo-inositol hexakisphosphate,HMDB0003502,b,b,C01204,MI-HEXAKISPHOSPHATE,FDB000374,minohp,[H][C@]1(OP([O-])([O-])=O)[C@]([H])(OP([O-])([O-])=O)[C@@]([H])(OP([O-])([O-])=O)[C@]([H])(OP([O-])([O-])=O)[C@]([H])(OP([O-])([O-])=O)[C@]1([H])OP([O-])([O-])=O,IMQLKJBTEOYOSI-GPIVLXJGSA-B,"InChI=1S/C6H18O24P6/c7-31(8,9)25-1-2(26-32(10,11)12)4(28-34(16,17)18)6(30-36(22,23)24)5(29-35(19,20)21)3(1)27-33(13,14)15/h1-6H,(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)/p-12/t1-,2-,3-,4+,5-,6-"
1277,31270,beraprost sodium,The organic sodium salt of beraprost. It is used in the treatment of chronic arterial occlusive disease and primary pulmonary hypertension in Japan.,16846,KEGG COMPOUND accession,C02467,,,,,,,,,,,,,,,
1278,32414,cis-parinarate,"A straight-chain, unsaturated, long-chain fatty acid anion that is the conjugate base of cis-parinaric acid, arising from deprotonation of the carboxylic acid group.",18205,KEGG COMPOUND accession,C03812,,,,,,,,,,,,,,,
1279,31135,(E)-5-hydroxyconiferyl alcohol,A 5-hydroxyconiferyl alcohol in which the double bond has E geochemistry.,16085,KEGG COMPOUND accession,C00617,,,,,,,,,,,,,,,
1280,33222,corrole,A tetrapyrrole fundamental parent that is the octadehydro drivative of corrin.,10589,KEGG COMPOUND accession,C07211,,,,,,,,,,,,,,,
1281,33225,isochromane,a,28488,KEGG COMPOUND accession,C07208,,,,,,,,,,,,,,,
1282,32646,methioninium,"A sulfur-containing amino-acid anion that is the conjugate acid of methionine, arising from protonation of the amino group.",28586,KEGG COMPOUND accession,C08252,,,,,,,,,,,,,,,
1283,32648,methionine residue,a,28782,KEGG COMPOUND accession,C08239,,,,,,,,,,,,,,,
