	chebi	name	definition	compound_id	type	accession_number
451	15185	tRNA(Pyl)	a	5331	KEGG COMPOUND accession	C09861
452	15258	trichlorophenols	Any chlorophenol derivative that contains three covalently bonded chlorine atoms.	67987	KEGG COMPOUND accession	C08946
453	3740	cleomiscosin A	An organic heterotricyclic compound that is 2,3-dihydro-9H-[1,4]dioxino[2,3-h]chromen-9-one substituted by 4-hydroxy-3-methoxy phenyl group at position 3, a hydroxymethyl group at position 2 and a methoxy group at position 5 (the 2R,3R stereoisomer). It exhibits anti-inflammatory activity.	15749	KEGG COMPOUND accession	C01163
454	3744	clidinium bromide	The bromide salt of clinidium. It is used for the symptomatic treatment of peptic ulcer disease and also to help relieve abdominal or stomach spasms or cramps due to colicky abdominal pain, diverticulitis, and irritable bowel syndrome.	15749	CAS Registry Number	1116-26-3
455	3757	clonidine (imino form)	a	27715	CAS Registry Number	4018-65-9
456	3759	clopidogrel sulfate	a	17231	KEGG COMPOUND accession	C01467
457	513	1,3,4,6-tetrachlorocyclohexa-1,4-diene	A chloroolefin that is cyclohexa-1,4-diene substituted by chloro groups at positions 1, 3, 4 and 6.	15616	KEGG COMPOUND accession	C01186
458	76	(-)-annonaine	An aporphine alkaloid that exhibits anti-cancer, trypanocidal and antiplasmodial activites.	27934	KEGG COMPOUND accession	C04165
459	99	(-)-maackiain	The (-)-enantiomer of maackiain.	28603	KEGG COMPOUND accession	C10890
460	153	(-)-neoisodihydrocarveol	A dihydrocarveol with a (1R,2S,4S)-configuration.	76	KEGG COMPOUND accession	C09339
461	5010	fenoprofen calcium (anhydrous)	The anhydrous form of the calcium salt of fenprofen. The dihydrate form is used as a non-steroidal anti-inflammatory drug for the management of mild to moderate pain and for the relief of pain and inflammation associated with disorders such as arthritis.	30789	KEGG COMPOUND accession	C02236
462	5017	ferredoxin	A protein containing more than one iron and acid-labile sulfur, that displays electron-transfer activity but not classical enzyme function.	27758	CAS Registry Number	7134-09-0
463	5027	ferricytochrome c-552.5	a	28918	KEGG COMPOUND accession	C00788
464	5065	fisetin 8-C-glucoside	A  flavone C-glycoside that is fisetin substituted by a beta-D-glucopyranosyl residue at position 8 via a C-glycosidic linkage.	17319	CAS Registry Number	4754-39-6
465	19835	3',5'-cyclic pyrimidine nucleotide	a	6408	CAS Registry Number	292-46-6
466	4850	eschscholtzidine	A heteropentacyclic isoquinoline alkaloid having a tertiary amino bridging group.	18101	KEGG COMPOUND accession	C00642
467	10440	(-)-beta-santalene	A sesquiterpene and carbobicyclic compound that is bicyclo[2.2.1]heptane in which the hydrogens at position 3 are substituted by a methylidene group, while the 2-exo- and 2-endo- hydrogens are subsitituted by 2-methylpent-2-en-5-yl and methyl groups, respectively (the 1S,2R,4R enantiomer).	27675	KEGG COMPOUND accession	C06601
468	20106	vanillylmandelic acid	An aromatic ether that is the 3-O-methyl ether of 3,4-dihydroxymandelic acid.	6530	KEGG COMPOUND accession	C09699
469	20114	3-methylquinolin-2(1H)-one	a	18378	KEGG COMPOUND accession	C08825
470	14261	feruloyl-CoA	An acyl-CoA that results from the formal condensation of the thiol group of coenzyme A with the carboxy group of ferulic acid.	5004	KEGG COMPOUND accession	C06997
471	14280	formyl phosphate(1-)	a	5014	CAS Registry Number	51630-58-1
472	13209	long-chain fatty acid ethyl ester	A fatty acid ethyl ester resulting from the formal condensation of the carboxy group of a long-chain fatty acid with the hydroxy group of ethanol.	16151	KEGG COMPOUND accession	C02274
473	1848	4-hydroxy-4-methylglutamate	A glutamic acid derivative that is L-glutamic acid with a methyl and a hydroxy group replacing the two hydrogens at position 4.	744	KEGG COMPOUND accession	C09153
474	1890	4-methoxyglucobrassicin	An  indolylmethylglucosinolic acid that is glucobrassicin bearing a methoxy substituent at position 4 on the indole ring.	27486	KEGG COMPOUND accession	C06392
475	13115	L-gulonate	The L-enantiomer of gulonate.	17132	KEGG COMPOUND accession	C04586
476	10017	volemitol	A heptitol that is heptane-1,2,3,4,5,6,7-heptol that has R-configuration at positions 2, 3, 5 and 6.	3443	CAS Registry Number	50645-63-1
477	10037	wedelolactone	A member of the class of coumestans that is coumestan with hydroxy substituents as positions 1, 8 and 9 and a methoxy substituent at position 3.	3454	KEGG COMPOUND accession	C08670
478	15138	sulfide(2-)	A divalent inorganic anion obtained by removal of both protons from hydrogen sulfide.	27412	CAS Registry Number	25876-10-2
479	1113	cis-2-hydroxypenta-2,4-dienoic acid	The cis-isomer of 2-hydroxypenta-2,4-dienoic acid.	17729	KEGG COMPOUND accession	C06160
480	3543	cephamycin C	One of three naturally occurring cephamycin antibiotics, differing from the A and B forms in its carbamoyloxymethyl substituent at C-3.	41941	KEGG COMPOUND accession	C01161
481	7577	nisoldipine	A racemate consisting of equimolar amounts of (R)- and (S)-nisoldipine. A calcium channel blocker, it is used in the treatment of hypertension and angina pectoris.	2540	KEGG COMPOUND accession	C09289
482	7579	(6S,7R)-2-azaspiro[5.5]undecan-7-ol	a	15338	KEGG COMPOUND accession	C03999
483	7582	nitrendipine	A  dihydropyridine that is 1,4-dihydropyridine substituted by methyl groups at positions 2 and 6, a 3-nitrophenyl group at position 4, a ethoxycarbonyl group at position 3 and a methoxycarbonyl group at position 5. It is a calcium-channel blocker used in the treatment of hypertension.	2542	CAS Registry Number	41929-10-6
484	12952	aldehydo-D-galacturonate	a	27478	KEGG COMPOUND accession	C06541
485	18435	(+)-7-isojasmonic acid	An oxylipin that is [(1S)-3-oxocyclopentyl]acetic acid substituted by a (2Z)-pent-2-en-1-yl group at position 2 on the cyclopentanone ring.	6006	CAS Registry Number	1621-84-7
486	3002	beclomethasone dipropionate	A steroid ester comprising beclomethasone having propionyl groups at the 17- and 21-positions.	1224	KEGG COMPOUND accession	C10923
487	3009	benalaxyl	A racemate comprising equal amounts of (R)- and (S)-benalaxyl.	16037	CAS Registry Number	79-46-9
488	3018	bentazone	A  benzothiadiazine that is 1H-2,1,3-benzothiadiazin-4(3H)-one 2,2-dioxide substituted by an isopropyl group at position 3.	27688	KEGG COMPOUND accession	C05815
489	2160	6-(3,3-dimethylallyl)galangin	A trihydroxyflavone that is  galangin substituted by a prenyl group at position 6.	15469	KEGG COMPOUND accession	C00605
490	2198	6-hydroxymelatonin	A member of the class of  tryptamines  that is melatonin with a hydroxy group substituent at position 6.	17828	KEGG COMPOUND accession	C02775
491	2305	8-(3,3-dimethylallyl)chrysin	A dihydroxyflavone that is chrysin substituted by a prenyl group at position 8.	28975	KEGG COMPOUND accession	C06599
492	1294	(20R,22R)-20,22-dihydroxycholesterol	An  oxysterol that is cholesterol substituted  by hydroxy groups at positions 20 and 22 (the 20R,22R-stereoisomer).	27517	KEGG COMPOUND accession	C02490
493	1395	3,5-dibromo-4-hydroxybenzoic acid	A monohydroxybenzoic acid that is p-salicylic acid with bromo- substituents at C-3 and C-5 of the benzene ring.	17708	CAS Registry Number	60463-06-1
494	3576	chanoclavine-I	An organic tricyclic compound that is 1,3,4,5-tetrahydrobenzo[cd]indole which is substituted at position 4 by a methylamino group and at position 5 by a 3-hydroxy-2-methylprop-1-en-1-yl group (the 4R,5R,E diastereoisomer). It is a precursor of the tetracyclic ergolines agroclavine, elymoclavine and lysergic acid amide.	28016	KEGG COMPOUND accession	C03347
495	7960	penicillenic acid	A compound formed spontaneously from a penicillin in aqueous solution via a rearrangement which involves fission of the beta-lactam ring, formation of an oxazolone ring and cleavage of the thiazolidine ring to generate a free sulfhydryl group.	2696	CAS Registry Number	16611-84-0
496	2805	arbusculin A	A sesquiterpene lactone isolated from Saussureae Radix and has been shown to exhibit inhibitory activity against melanogenesis.	17852	KEGG COMPOUND accession	C01251
497	7507	neomycin	A broad-spectrum highly toxic antibiotic or mixture of antibiotics produced by a streptomyces (Streptomyces fradiae) and used medically especially to treat local infections.	2509	CAS Registry Number	9002-18-0
498	25572	nocardicin	a	27529	KEGG COMPOUND accession	C04307
499	25580	nonanoyl group	a	15883	KEGG COMPOUND accession	C01261
500	25585	nonmetal atom	a	28400	KEGG COMPOUND accession	C04392
501	25591	norcoclaurine	A benzylisoquinoline alkaloid based on a  benzyltetrahydroisoquinoline skeleton.	18315	KEGG COMPOUND accession	C00113
502	27178	tyrosino group	a	16367	KEGG COMPOUND accession	C04087
503	24385	glycoglycerolipid	a	16701	KEGG COMPOUND accession	C01117
504	25901	pentose	A five-carbon monosaccharide which in its linear form contains either an aldehyde group at position 1 (aldopentose) or a ketone group at position 2 (ketopentose).	18122	KEGG COMPOUND accession	C03303
505	24975	ketooctose	A ketooctose is a ketone-containing octose.	78258	CAS Registry Number	85394-31-6
506	25627	octadecadienoic acid	Any straight-chain, C18 polyunsaturated fatty acid having two C=C double bonds.	16096	CAS Registry Number	3486-67-7
507	25640	octamethylcyclotetrasiloxane	A cyclosiloxane that is the octamethyl derivative of  cyclotetrasiloxane.	28716	KEGG COMPOUND accession	C08362
508	26895	tetracyclines	A subclass of polyketides having an octahydrotetracene-2-carboxamide skeleton, substituted with many hydroxy and other groups.	17026	KEGG COMPOUND accession	C00410
509	26912	oxolanes	Any oxacycle having an oxolane (tetrahydrofuran) skeleton.	8455	CAS Registry Number	500-92-5
510	24458	guanosines	Any purine ribonucleoside that is a derivative of guanosine.	15970	KEGG COMPOUND accession	C03015
511	24460	5'-guanylyl group	a	15970	CAS Registry Number	2105-23-9
512	25978	phenylacetic acids	Any monocarboxylic acid that is phenylacetic acid or its substituted derivatives.	16760	KEGG COMPOUND accession	C03164
513	26248	prenyl group	a	18021	KEGG COMPOUND accession	C00074
514	21099	D-tagaturonic acid	a	6970	KEGG COMPOUND accession	C07816
515	20570	5-hydroxycamphor	A cyclic monoterpene ketone that is camphor bearing a hydroxy substituent at position 5.	28053	KEGG COMPOUND accession	C05402
516	19051	1-hydroxy-4-oxahomoadamantan-5-one	a	6211	CAS Registry Number	498-59-9
517	19062	1-methylguanosine	Guanosine substituted with a methyl group at position N-1.	30249	CAS Registry Number	1022-31-7
518	19065	1-methylinosine	Inosine carrying a methyl substituent at position 1 on the hypoxanthine ring.	17291	KEGG COMPOUND accession	C01720
519	19074	1-nitro-1,2-dihydro-1,3,5-triazine	a	6220	KEGG COMPOUND accession	C01099
520	19327	2-hydroxy-6-(2-hydroxyphenoxy)-6-oxo-cis,cis-hexa-2,4-dienoate	a	15603	CAS Registry Number	61-90-5
521	19333	2,4,6-trichloroanisole	A monomethoxybenzene that is 1,3,5-trichlorobenzene in which one of the hydrogens is replaced by a methoxy group.	6263	KEGG COMPOUND accession	C01930
522	27237	uridine phosphate	a	37396	KEGG COMPOUND accession	C00866
523	27241	methyl uridin-5-yloxyacetate	A methyl ester that is uridine which is substituted at position 5 on the uracil ring by a methoxycarbonylmethoxy group.	28906	KEGG COMPOUND accession	C07090
524	27244	5'-uridylyl group	a	28906	CAS Registry Number	108-28-1
525	27247	urocanate	An monocarboxylic acid anion that is the conjugate base of urocanic acid.	16673	KEGG COMPOUND accession	C02880
526	20184	3-phenanthrol	a	28193	KEGG COMPOUND accession	C10772
527	20432	imidazolone	a	28460	KEGG COMPOUND accession	C02052
528	20440	4-methyl-L-glutamic acid	An amino dicarboxylic acid that is L-glutamic acid substituted by a methyl group at position 4.	75030	KEGG COMPOUND accession	C08718
529	20441	4-(methylamino)butyrate	An aza fatty acid anion and the conjugate base of 4-(methylamino)butyric acid.	75030	CAS Registry Number	16727-30-3
530	21457	N-[(9-beta-D-ribofuranosyl-2-methylthiopurin-6-yl)carbamoyl]threonine	An N-(adenosin-N(6)-ylcarbonyl)threonine in which the adenosine ring is carrying a 2-methylthio substituent.	27877	KEGG COMPOUND accession	C04904
531	21787	N-seryl-glycosylphosphatidylinositolethanolamine	A glycosylphosphatidylinositolethanolamine in which the nitrogen is substituted by a seryl group.	18415	KEGG COMPOUND accession	C02718
532	19252	2'-deoxyribonucleoside 3'-monophosphate	a	29155	KEGG COMPOUND accession	C02988
533	19254	purine 2'-deoxyribonucleoside	A 2'-deoxyribonucleoside that has a purine moiety as the nucleobase (the R group in the illustration).	17443	KEGG COMPOUND accession	C02427
534	19257	2'-deoxyribonucleoside monophosphate	a	17588	KEGG COMPOUND accession	C00155
535	19565	2-deoxyribose 5-phosphate	a	16857	CAS Registry Number	72-19-5
536	19568	2-deoxyribose bisphosphate	a	16828	KEGG COMPOUND accession	C00078
537	21717	N-formylglycine	An N-acylglycine resulting from the formal condensation of the amino group of glycine with formic acid.	17072	KEGG COMPOUND accession	C03139
538	21726	N-glycoloyl-hexosamine	A N-acyl-hexosamine in which the acyl group specified is glycoloyl.	16820	KEGG COMPOUND accession	C03001
539	20302	4-acetamido-2-amino-6-nitrotoluene	A member of the class of amino-nitrotoluenes that is 2-amino-6-nitrotoluene bearing an additional acetamido group at position 4.	17371	CAS Registry Number	11049-15-3
540	21314	glutamyl phosphate	a	17741	KEGG COMPOUND accession	C03134
541	21601	N-acetyl-D-hexosamine	Any N-acetylhexosamine in which the hexosamine has D-configuration. The structure provided is an illustrative example of the pyranose form of an N-acetyl-D-hexosamine.	15363	KEGG COMPOUND accession	C02298
542	20538	2-deoxy-20-hydroxy-5alpha-ecdysone 3-acetate	a	63609	CAS Registry Number	53230-10-7
543	20550	5-aminosalicylaldehyde	A member of the class of benzaldehydes that is salicylaldehyde in which the hydrogen para- to the hydroxy group is substituted by an amino group.	27915	CAS Registry Number	108-78-1
544	25699	organic ion	a	7916	KEGG COMPOUND accession	C00864
545	25107	magnesium atom	a	16912	KEGG COMPOUND accession	C01119
546	25111	magnesium porphyrin	a	17654	KEGG COMPOUND accession	C02177
547	26374	pterin	a	28824	CAS Registry Number	83-48-7
548	26375	pterins	a	8196	KEGG COMPOUND accession	C09709
549	26379	pteroyl group	a	8198	CAS Registry Number	27208-80-6
550	26385	purine alkaloid	a	28747	CAS Registry Number	98-98-6
551	26708	sodium atom	a	28307	KEGG COMPOUND accession	C05772
552	26710	sodium chloride	An inorganic chloride salt having sodium(1+) as the counterion.	27711	KEGG COMPOUND accession	C06406
553	26712	sodium molecular entity	a	16430	KEGG COMPOUND accession	C06407
554	26725	glucitol phosphate	a	8378	KEGG COMPOUND accession	C07369
555	20476	4-sulfonatobenzoate(2-)	A doubly-charged sulfonatobenzoate consisting of benzoate having a sufonato group at the 4-position.	28085	KEGG COMPOUND accession	C01728
556	19760	2-phenanthrol	a	16521	KEGG COMPOUND accession	C01724
557	26069	phosphonic acids	HP(=O)(OH)2  (phosphonic acid) and its P-substituted derivatives.	30745	CAS Registry Number	103-82-2
558	23976	ethanediol	Any diol that is ethane or substituted ethane carrying two hydroxy groups.	7478	KEGG COMPOUND accession	C07792
559	23994	ethyl methanesulfonate	A methanesulfonate ester resulting from the formal condensation of methanesulfonic acid with ethanol.	28327	CAS Registry Number	529-55-5
560	23997	ethyl 3-hydroxyhexanoate	A fatty acid ester that is the ethyl ester of 3-hydroxyhexanoic acid.	28705	KEGG COMPOUND accession	C09793
561	24265	gluconate	a	44368	KEGG COMPOUND accession	C08042
562	24266	gluconic acid	a	44368	CAS Registry Number	59-87-0
563	24267	gluconolactone	a	17997	KEGG COMPOUND accession	C00697
564	24271	glucosamines	Any  hexosamine that is glucose in which at least one of the hydroxy groups has been replaced by an amino group.	17997	CAS Registry Number	7727-37-9
565	24272	glucosaminyl group	A glycosaminyl group obtained by removing the hydroxy group from the hemiacetal function of a glucosamine and, by extension, of a lower oligosaccharide having a glucosamine at the reducing end.	51143	KEGG COMPOUND accession	C06061
566	24274	glucosaminylphosphodolichol	A polyprenyl glycosyl phosphate consisting of a glucosaminyl residue attached to dolichol phosphate.	28787	KEGG COMPOUND accession	C07455
567	24980	ketotetrose phosphate	a	7799	KEGG COMPOUND accession	C08093
568	26144	piperazines	a	8113	CAS Registry Number	60-81-1
569	26145	piperideine	a	16204	KEGG COMPOUND accession	C02183
570	25167	mannosaminolactone	a	18191	KEGG COMPOUND accession	C00343
571	25186	p-menthane monoterpenoid	a	30842	CAS Registry Number	473-90-5
572	25195	mercury atom	a	7855	KEGG COMPOUND accession	C10116
573	25196	mercury molecular entity	a	7855	CAS Registry Number	548-74-3
574	25197	mercury cation	a	7856	KEGG COMPOUND accession	C07360
575	25198	dimercury(2+)	a	7856	CAS Registry Number	5633-20-5
576	25205	meso-lanthionine	The meso-isomer of lanthionine. It is a key constituent of bacterial peptidoglycan type A51 and A3delta.	15379	KEGG COMPOUND accession	C00007
577	26437	pyrimidine nucleoside diphosphate	a	8228	KEGG COMPOUND accession	C07675
578	26446	pyrimidine ribonucleotide	a	8232	CAS Registry Number	61477-96-1
579	26447	pyrimidinemonocarboxylic acid	a	8233	KEGG COMPOUND accession	C07361
580	26455	pyrroles	An azole that includes only one N atom and no other heteroatom as a part of the aromatic skeleton.	47858	KEGG COMPOUND accession	C06181
581	24027	fatty-acyl group	A fatty-acyl group is a group formed by loss of OH from the carboxy group of a fatty acid.	27669	CAS Registry Number	29838-67-3
582	24043	flavones	A member of the class of flavonoid with a 2-aryl-1-benzopyran-4-one (2-arylchromen-4-one) skeleton and its substituted derivatives.	7508	KEGG COMPOUND accession	C01737
583	24060	fluoride salt	a	32446	KEGG COMPOUND accession	C08606
584	24061	fluorine atom	a	32446	CAS Registry Number	14660-91-4
585	24062	fluorine molecular entity	a	7518	KEGG COMPOUND accession	C09791
586	24069	fluoroaniline	A substituted aniline carrying an additional fluoro substituent on the benzene ring.	7521	CAS Registry Number	1631-58-9
587	24070	fluorobenzoate	a	7522	KEGG COMPOUND accession	C08876
588	24071	fluorobenzoic acid	Any benzoic acid carrying at least one fluoro substituent on the benzene ring. Fluorobenzoic acids are important intermediates in the synthesis of antibacterial drugs.	7522	CAS Registry Number	466-07-9
589	24072	fluorobenzoyl-CoA	Any member of the class of benzoyl-CoAs having fluorobenzoyl as the aroyl substituent.	29452	KEGG COMPOUND accession	C09871
590	24326	glutaramic acid	A dicarboxylic acid monoamide that is formally derived from glutaric acid by conversion of one of the two carboxylic acid groups to the corresponding amide.	7621	KEGG COMPOUND accession	C11810
591	24347	glycerates	a	7632	KEGG COMPOUND accession	C10087
592	25986	phenylalanino group	a	71416	KEGG COMPOUND accession	C07429
593	25987	phenylalanyl group	a	71416	CAS Registry Number	94-78-0
594	26536	retinoic acid	A retinoid consisting of 3,7-dimethylnona-2,4,6,8-tetraenoic acid substituted at position 9 by a 2,6,6-trimethylcyclohex-1-en-1-yl group (geometry of the four exocyclic double bonds is not specified).	28688	KEGG COMPOUND accession	C08832
595	26539	retinoyl group	a	8277	CAS Registry Number	5947-49-9
596	26544	rhamnonate	a	50305	KEGG COMPOUND accession	C10874
597	26545	rhamnonolactone	a	50305	CAS Registry Number	518-28-5
598	26548	rhamnosylglucoside	a	27901	KEGG COMPOUND accession	C10876
599	26561	ribonucleotide	a	16051	KEGG COMPOUND accession	C00653
600	26573	ribulose phosphate	a	8298	KEGG COMPOUND accession	C11552
601	26580	rifamycins	a	51349	CAS Registry Number	27308-78-7
602	26841	synthetic auxin	A synthetic compound exhibiting auxin activity.	8426	KEGG COMPOUND accession	C07372
603	24278	glucoside	a	27986	KEGG COMPOUND accession	C06876
604	24280	D-glucosyl group	The glucosyl group formed from D-glucopyranose.	17045	KEGG COMPOUND accession	C00887
605	23890	ecdysone 25-O-D-glucopyranoside	a	16134	CAS Registry Number	7664-41-7
606	24993	laballenic acid	A C18, 5,6-allenic fatty acid.	472805	CAS Registry Number	630-60-4
607	25000	lactone	Any cyclic carboxylic ester containing a 1-oxacycloalkan-2-one structure, or an analogue having unsaturation or heteroatoms replacing one or more carbon atoms of the ring.	7809	CAS Registry Number	66-79-5
608	24108	fructosylglycine	a	63613	KEGG COMPOUND accession	C07263
609	24111	fructoside	a	27960	KEGG COMPOUND accession	C03417
610	24112	fructuronate	a	7549	KEGG COMPOUND accession	C04337
611	24113	fructuronic acid	a	7550	KEGG COMPOUND accession	C07264
612	24117	fuconolactone	a	28112	KEGG COMPOUND accession	C00291
613	24119	fucoside	a	7553	DrugBank accession	DB06803
614	24125	fumaroyl group	a	17721	CAS Registry Number	34441-14-0
615	24126	(E)-3-carboxyprop-2-enoyl group	a	17154	KEGG COMPOUND accession	C00153
616	26775	stilbene	a	35796	CAS Registry Number	5594-02-5
617	26797	(1R,2S)-3-ethenylcyclohexa-3,5-diene-1,2-diol	a	8405	CAS Registry Number	90-34-6
618	26816	carbohydrate phosphate	a	8412	CAS Registry Number	125-33-7
619	26345	prostaglandins I	a	18067	CAS Registry Number	84-80-0
620	26347	prostanoid	The family of natural prostaglandins and prostaglandin-like compounds including prostacyclins and thromboxanes.	8182	CAS Registry Number	76540-48-2
621	25064	lipoyl group	A univalent carboacyl group that is derived from 5-(1,2-dithiolan-3-yl)pentanoic acid.	16582	CAS Registry Number	585-05-7
622	24182	gallotannin	A class of hydrolysable tannins obtained by condensation of the carboxy group of gallic acid (and its polymeric derivatives) with the hydroxy groups of a monosaccharide (most commonly glucose).	7565	KEGG COMPOUND accession	C07266
623	24190	gamma-glutamyl group	a	7569	KEGG COMPOUND accession	C11609
624	24221	3,7-dimethylocta-2,6-dien-1-ol	a	7581	KEGG COMPOUND accession	C07487
625	26845	tagaturonic acid	a	8428	KEGG COMPOUND accession	C07401
626	26849	tartaric acid	a	8430	KEGG COMPOUND accession	C07375
627	21615	N-acetyl-D-muramic acid	The pyranose form of N-acetylmuramic acid.	7210	CAS Registry Number	80115-95-3
628	21622	N-acetylneuraminic acids	a	17012	KEGG COMPOUND accession	C00270
629	21638	N-acylglucosamine	a	18163	KEGG COMPOUND accession	C04927
630	20832	9-phenanthryl sulfate	a	6851	KEGG COMPOUND accession	C01223
631	20838	9-ribosylzeatin	An N-glycosylzeatin that is zeatin in which the hydrogen attached to the nitrogen at position 9 of the adenine moiety is replaced by a beta-D-ribofuranosyl group.	17540	KEGG COMPOUND accession	C03619
632	20853	AMP-sugar	a	17512	KEGG COMPOUND accession	C04698
633	20855	ATP-sugar	a	6863	KEGG COMPOUND accession	C07640
634	21885	N(6)-glycyl-L-lysine	A L-lysine derivative with a glycyl group at the N(6)-position.	18123	KEGG COMPOUND accession	C01004
635	21887	N(6)-lipoyl-L-lysine	An N(6)-acyl-L-lysine where the N(6)-acyl group is lipoyl.	18123	CAS Registry Number	535-83-1
636	21911	N(alpha)-methyl-L-histidines	A  N-methyl-L-alpha-amino acid that is L-histidine in which at least one of the amino hydrogens has been replaced by a methyl group.	32989	KEGG COMPOUND accession	C03624
637	20601	5-methoxyuridine	A derivative of uridine, bearing an additional methoxy substituent at position 5 on the uracil ring.	28869	CAS Registry Number	58-27-5
638	18859	1,2,3-tribromopropane	a	17100	KEGG COMPOUND accession	C01114
639	26643	aldehydic acid	A monocarboxylic acid derived from any dicarboxylic acid that has a retained name by the formal reduction of one of the carboxy groups to a formyl group. The resulting structure, also known as a semialdehyde, may be named by replacing the ending '...ic acid' of the retained name of the dicarboxylic acid by the ending '...aldehydic acid'. Aldehydic acids therefore contain one carboxy group and one aldehyde group.	17381	CAS Registry Number	487-90-1
640	26645	semiochemical	A molecular messenger released by an organism that affects the behaviour within or between species.	8337	KEGG COMPOUND accession	C05113
641	26916	tetrahydronicotinamide adenine dinucleotide	a	8459	KEGG COMPOUND accession	C07379
642	20909	D-arabinarate(1-)	a	6877	KEGG COMPOUND accession	C10478
643	20656	5alpha-pregnane	a	27969	KEGG COMPOUND accession	C06028
644	20659	5beta-androstane	The 5beta-stereoisomer of androstane.	28346	KEGG COMPOUND accession	C06546
645	20680	6,7-dihydrobiopterin	a	6786	CAS Registry Number	5042-03-5
646	20984	D-gluconate adduct	a	44241	CAS Registry Number	54-36-4
647	22024	S-12-hydroxyfarnesyl-L-cysteine	An L-cysteine thioether that is S-(2E,6E)-farnesyl-L-cysteine bearing a hydroxy substituent on the pro-Z-methyl group at the 12-position.	17358	KEGG COMPOUND accession	C02726
648	19082	1-phenanthryl beta-D-glucoside	a	42905	CAS Registry Number	15572-79-9
649	20725	6-hydroxydopa	a	16183	KEGG COMPOUND accession	C01438
650	20741	6-O-methyl-D-glucose	A D-aldohexose that is D-glucose in which the hydrogen of the hydroxy group at position 6 has been substituted by a methyl group.	17448	CAS Registry Number	89873-36-9
651	20761	6alpha-hydroxycampestanol	A 3beta-sterol having the structure of campestanol with a hydroxy group at the 6alpha-position.	17790	CAS Registry Number	67-56-1
652	15040	retinyl palmitate	A palmitate ester of retinol with undefined geometry about the C=C bonds.	33830	CAS Registry Number	14982-50-4
653	25704	organic sulfate	Compounds of the general formula SO3HOR where R is an organyl group	27373	KEGG COMPOUND accession	C05944
654	25705	organochlorine insecticide	Any organochlorine pesticide that has been used as an insecticide.	27373	CAS Registry Number	81-13-0
655	25706	organomercury compound	A compound containing at least one carbon-mercury bond.	28241	KEGG COMPOUND accession	C06533
656	25710	organophosphorus compound	An organophosphorus compound is formally a compound containing at least one carbon-phosphorus bond, but the term is often extended to include esters and thioesters.	27909	KEGG COMPOUND accession	C07834
657	25711	organophosphorus insecticide	a	27909	CAS Registry Number	123-63-7
658	25717	organotin compound	a	27827	KEGG COMPOUND accession	C06606
659	25728	osmolyte	A solute used by a cell under water stress to maintain cell volume.	27928	CAS Registry Number	56-38-2
660	26971	thionucleotide	a	8478	KEGG COMPOUND accession	C02876
661	25996	phenylhydrazines	Any member of the class of  hydrazines carrying a phenyl substituent.	8062	KEGG COMPOUND accession	C10484
662	26004	phenylpropanoid	Any organic aromatic compound with a structure based on a phenylpropane skeleton. The class includes naturally occurring phenylpropanoid esters, flavonoids, anthocyanins, coumarins and many small phenolic molecules as well as their semi-synthetic and synthetic analogues. Phenylpropanoids are also precursors of lignin.	18397	CAS Registry Number	64-04-0
663	26036	phosphatidylinositol monophosphate	a	8075	KEGG COMPOUND accession	C02181
664	26051	phosphoamino acid	a	8082	CAS Registry Number	122-79-2
665	27261	vaccenoyl group	a	15430	CAS Registry Number	553-12-8
666	24353	glycerol ether	Any ether having glyceryl as at least one of the O-substituents.	7635	KEGG COMPOUND accession	C10379
667	21264	L-cysteine glutathione disulfide	An organic disulfide that is the L-cysteinyl derivative of glutathione.	17221	KEGG COMPOUND accession	C06074
668	24532	organic heterocyclic compound	A cyclic compound having as ring members atoms of carbon and at least of one other element.	27549	KEGG COMPOUND accession	C05031
669	19281	2,2'-bithiophenes	A  ring assembly that consists of two thiophene rings connected by a single covalent bond.	17486	CAS Registry Number	101-31-5
670	25798	oxopentanoates	The conjugate base of any oxopentanoic acid.	17334	KEGG COMPOUND accession	C00395
671	25801	oxoproline	A pyrrolidinemonocarboxylic acid consisting of proline bearing a single oxo substituent.	18208	CAS Registry Number	61-33-6
672	25805	oxygen atom	a	18203	CAS Registry Number	525-94-0
673	25812	ozone	An elemental molecule with formula O3. An explosive, pale blue gas (b.p. -112degreeC) that has a characteristic, pleasant odour, it is continuously produced in the upper atmosphere by the action of solar ultraviolet radiation on atmospheric oxygen. It is an antimicrobial agent used in the production of bottled water, as well as in the treatment of meat, poultry and other foodstuffs.	7969	KEGG COMPOUND accession	C11746
674	24621	hormone	Originally referring to an endogenous compound that is formed in specialized organ or group of cells and carried to another organ or group of cells, in the same organism, upon which it has a specific regulatory function, the term is now commonly used to include non-endogenous, semi-synthetic and fully synthetic analogues of such compounds.	28285	KEGG COMPOUND accession	C11311
675	27354	xylulose 5-phosphate	A xylulose phosphate in which the phosphate group is at position 5. It is an intermediate metabolite in the pentose phosphate pathway.	35596	CAS Registry Number	89-82-7
676	26921	tetrahydropyridine	a	8461	CAS Registry Number	60-87-7
677	24358	glycerone derivative	a	7637	CAS Registry Number	22172-15-2
678	24360	glycerophosphoglycerols	a	7638	CAS Registry Number	54954-12-0
679	24364	glyceryl group	a	7640	CAS Registry Number	72-69-5
