name,value,disease,age,Gender,location,concentration,markerdb_id,method,id
Phenylacetic acid,83,Chronic Kidney Disease,Adult: >=18 yrs old,Unknown,Blood,3.5e+03 (3.2e+03-3.8e+03) uM,1125,"Jankowski, J., van der Giet, M., Jankowski, V., Schmidt, S., Hemeier, M., Mahn, B., Giebing, G., Tolle, M., Luftmann, H., Schluter, H., Zidek, W. & Tepel, M. Increased plasma phenylacetic acid in patients with end-stage renal failure inhibits iNOS expression. J Clin Invest 112, 256-264 (2003).",12865413.0
Phenylacetic acid,330,Uremia,Adult: >=18 yrs old,Both,Blood,3.5e+03 (3.2e+03-3.8e+03) uM,366742,,22626821.0
Pantothenic acid,6328,Ethanol Consumption,Adult: >=18 yrs old,Unknown,Cerebrospinal_Fluid,0.80 (0.72-0.88) uM,104,"Dastur, D. K., Santhadevi, N., Quadros, E. V., Avari, F. C., Wadia, N. H., Desai, M. N. & Bharucha, E. P. The B-vitamins in malnutrition with alcoholism. A model of intervitamin relationships. Br J Nutr 36, 143-159 (1976).",182198.0
Myoinositol,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,42.1 (5.1-79.2) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Myoinositol,297,Ribose 5 Phosphate Isomerase Deficiency,Adult: >=18 yrs old,Both,Blood,20.0 (23.0-24.0) uM,1219,"Huck, J. H., Verhoeven, N. M., Struys, E. A., Salomons, G. S., Jakobs, C. & van der Knaap, M. S. Ribose-5-phosphate isomerase deficiency: new inborn error in the pentose phosphate pathway associated with a slowly progressive leukoencephalopathy. Am J Hum Genet 74, 745-751 (2004).",14988808.0
Myoinositol,330,Uremia,Adult: >=18 yrs old,Both,Blood,522.2 (138.9-905.6) uM,366719,,12675874.0
Ornithine,33,Alzheimer's Disease,Adult: >=18 yrs old,Both,Urine,12.3 (7.3-17.4) umol/mmol creatinine,129,"Fonteh, A. N., Harrington, R. J., Tsai, A., Liao, P. & Harrington, M. G. Free amino acid and dipeptide changes in the body fluids from Alzheimer's disease subjects. Amino Acids 32, 213-224 (2007).",17031479.0
Ornithine,104,Cystinuria,Adult: >=18 yrs old,Both,Urine,332.7 umol/mmol creatinine,367361,,14586528.0
Ornithine,213,Lysinuric Protein Intolerance,Children: 2-17 yrs old,Both,Urine,33.6 (16.1-51.0) umol/mmol creatinine,366823,,28028301.0
Ornithine,33,Alzheimer's Disease,Adult: >=18 yrs old,Male,Saliva,28.3 (18.5-38.0) uM,366614,,23857558.0
Ornithine,2093,Pearson Marrow Pancreas Syndrome,Infant: 1 wk-2 yrs old,Female,Blood,19.0 uM,366685,,25691415.0
Ornithine,251,Obesity,Children: 2-17 yrs old,Both,Blood,55.2 (39.8-70.6) uM,367335,Metabolomics reveals determinants of weight loss during lifestyle intervention in obese children,
Ornithine,330,Uremia,Children: 2-17 yrs old,Both,Blood,37.8 (25.8-49.8) uM,1822,"Canepa, A., Filho, J. C., Gutierrez, A., Carrea, A., Forsberg, A. M., Nilsson, E., Verrina, E., Perfumo, F. & Bergstrom, J. Free amino acids in plasma, red blood cells, polymorphonuclear leukocytes, and muscle in normal and uraemic children. Nephrol Dial Transplant 17, 413-421 (2002).",11865086.0
Norepinephrine,186,Hypothyroidism,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,5.0e-05 (3.0e-05-7.0e-05) uM,1067,"Sjoberg, S., Eriksson, M. & Nordin, C. L-thyroxine treatment and neurotransmitter levels in the cerebrospinal fluid of hypothyroid patients: a pilot study. Eur J Endocrinol 139, 493-497 (1998).",9849813.0
Norepinephrine,222,Meningitis,Adult: >=18 yrs old,Unknown,Cerebrospinal_Fluid,0.0043 uM,367370,,4031843.0
Norepinephrine,1243,Congenital Dopamine Beta-Hydroxylase Deficiency,Adult: >=18 yrs old,Unknown,Blood,0.00015 (-9.0e-05-0.00015) uM,367369,GeneReviews: Dopamine Beta-Hydroxylase Deficiency,
Norepinephrine,39,Subarachnoid Hemorrhage,Adult: >=18 yrs old,Both,Blood,0.0037 (0.0032-0.0042) uM,310,"Lambert, G., Naredi, S., Eden, E., Rydenhag, B. & Friberg, P. Monoamine metabolism and sympathetic nervous activation following subarachnoid haemorrhage: influence of gender and hydrocephalus. Brain Res Bull 58, 77-82 (2002).",12121816.0
Norepinephrine,160,Heat Stress,Adult: >=18 yrs old,Both,Blood,0.00100 (0-0.0023) uM,950,"McMorris, T., Swain, J., Smith, M., Corbett, J., Delves, S., Sale, C., Harris, R. C. & Potter, J. Heat stress, plasma concentrations of adrenaline, noradrenaline, 5-hydroxytryptamine and cortisol, mood state and cognitive performance. Int J Psychophysiol 61, 204-215 (2006).",16309771.0
Norepinephrine,330,Uremia,Adult: >=18 yrs old,Both,Blood,0.012 (0.0070-0.017) uM,366742,,22626821.0
Palmitic acid,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,22.9 (3.8-41.9) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Oxalacetic acid,42,Anoxia,Adult: >=18 yrs old,Both,Cellular_Cytoplasm,2.0 uM,332,"Zupke, C., Sinskey, A. J. & Stephanopoulos, G. Intracellular flux analysis applied to the effect of dissolved oxygen on hybridomas. Appl Microbiol Biotechnol 44, 27-36 (1995).",8579834.0
O-Phosphoethanolamine,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,71.5 (35.6-107.3) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Oxoadipic acid,32,Alpha Aminoadipic Aciduria,Children: 2-17 yrs old,Unknown,Urine,70.0 (20.0-120.0) umol/mmol creatinine,367354,,6796766.0
Orotic acid,254,Ornithine Transcarbamylase Deficiency,Newborn: 0 day-1 wk,Male,Urine,20.0 umol/mmol creatinine,366872,,12697901.0
Orotic acid,1359,N Acetylglutamate Synthase Deficiency,Children: 2-17 yrs old,Male,Urine,1.2e+03 (0.72-2.3e+03) umol/mmol creatinine,366684,,2044610.0
Orotic acid,5455,Orotic Aciduria,Adult: >=18 yrs old,Female,Urine,8.2 umol/mmol creatinine,367352,,25757096.0
Mevalonic acid,3356,Mevalonic Aciduria,Infant: 1 wk-2 yrs old,Both,Urine,2.9e+04 (2.1e+03-5.6e+04) umol/mmol creatinine,366873,,8386351.0
Mevalonic acid,308,Smith Lemli Opitz Syndrome,Adult: >=18 yrs old,Both,Blood,0.012 (0.0100-0.014) uM,1744,"Honda, M., Tint, G. S., Honda, A., Salen, G., Shefer, S., Batta, A. K., Matsuzaki, Y. & Tanaka, N. Regulation of cholesterol biosynthetic pathway in patients with the Smith-Lemli-Opitz syndrome. J Inherit Metab Dis 23, 464-474 (2000).",10947201.0
Mevalonic acid,3356,Mevalonic Aciduria,Infant: 1 wk-2 yrs old,Both,Blood,305.0 (70.0-540.0) uM,366873,,8386351.0
Phenol,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,5.8 (3.3-8.3) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Phenol,330,Uremia,Adult: >=18 yrs old,Both,Blood,58.4 (19.1-97.8) uM,1865,"Guneral, F. & Bachmann, C. Age-related reference values for urinary organic acids in a healthy Turkish pediatric population. Clin Chem 40, 862-866 (1994).",8087979.0
Nicotinamide ribotide,310,Sodium Nitrate Consumption,Adult: >=18 yrs old,Both,Urine,366.7 (133.3-600.0) umol/mmol creatinine,1771,"Jansen, E. H., van den Berg, R. H., Boink, A. B., Hegger, C. & Meulenbelt, J. A new physiological biomarker for nitrate exposure in humans. Toxicol Lett 77, 265-269 (1995).",7618150.0
Quinolinic acid,36,Amyotrophic Lateral Sclerosis,Adult: >=18 yrs old,Unknown,Cerebrospinal_Fluid,0.040 (0.030-0.050) uM,367394,,19921535.0
Quinolinic acid,164,Hepatic Coma,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,0.00015 (0.00011-0.00019) uM,977,"Moroni, F., Lombardi, G., Carla, V., Lal, S., Etienne, P. & Nair, N. P. Increase in the content of quinolinic acid in cerebrospinal fluid and frontal cortex of patients with hepatic failure. J Neurochem 47, 1667-1671 (1986).",2430055.0
Quinolinic acid,330,Uremia,Adult: >=18 yrs old,Both,Blood,9.0 (3.6-14.4) uM,366719,,12675874.0
Testosterone,2,11 Beta Hydroxylase Deficiency,Children: 2-17 yrs old,Both,Blood,0.0029 (0.0015-0.0042) uM,366635,,8933406.0
Testosterone,66,Cadmium Exposure,Adult: >=18 yrs old,Male,Blood,9.3 (3.3-19.9) uM,436,"Zeng, X., Lin, T., Zhou, Y. & Kong, Q. Alterations of serum hormone levels in male workers occupationally exposed to cadmium. J Toxicol Environ Health A 65, 513-521 (2002).",11939709.0
Testosterone,4185,Aromatase Deficiency,Children: 2-17 yrs old,Female,Blood,2.0e-06 (-0.00098-2.0e-06) uM,199555,"Mullis, P. E., Yoshimura, N., Kuhlmann, B., Lippuner, K., Jaeger, P. & Harada, H. Aromatase deficiency in a female who is compound heterozygote for two new point mutations in the P450arom gene: impact of estrogens on hypergonadotropic hypogonadism, multicystic ovaries, and bone densitometry in childhood. J Clin Endocrinol Metab 82, 1739-1745 (1997).",9177373.0
Testosterone,3,21 Hydroxylase Deficiency,Adult: >=18 yrs old,Female,Blood,0.0039 uM,366689,,11038205.0
Testosterone,2005,X-Linked Ichthyosis,Adult: >=18 yrs old,Male,Blood,0.022 (0.0090-0.036) uM,367371,,3864567.0
Thiamine,136,Friedreich's Ataxia,Unknown,Unknown,Cerebrospinal_Fluid,0.100 (0.090-0.11) uM,874,"Botez, M. I. & Young, S. N. Biogenic amine metabolites and thiamine in cerebrospinal fluid in heredo-degenerative ataxias. Can J Neurol Sci 28, 134-140 (2001).",11383938.0
Thiamine,136,Friedreich's Ataxia,Adult: >=18 yrs old,Both,Blood,0.18 (0.11-0.25) uM,872,"Pedraza, O. L. & Botez, M. I. Thiamine status in inherited degenerative ataxias. J Neurol Neurosurg Psychiatry 55, 136-137 (1992).",1538220.0
Thiamine,161,Hemodialysis,Elderly: 65-100+ yrs old,Both,Blood,0.035 (0.029-0.041) uM,951,"Hung, S. C., Hung, S. H., Tarng, D. C., Yang, W. C., Chen, T. W. & Huang, T. P. Thiamine deficiency and unexplained encephalopathy in hemodialysis and peritoneal dialysis patients. Am J Kidney Dis 38, 941-947 (2001).",11684545.0
Propionic acid,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,3.0 (0.84-5.1) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Propionic acid,6247,Ulcerative Colitis,Unknown,Unknown,Feces,0.00043 (0-0.0048) nmol/g wet feces,367353,,23867873.0
Propionic acid,196,Irritable Bowel Syndrome,Unknown,Unknown,Feces,0.0011 (0-0.0041) nmol/g wet feces,367353,,23867873.0
Propionic acid,99,Crohn's Disease,Unknown,Unknown,Feces,0.0025 (0-0.0048) nmol/g wet feces,367353,,23867873.0
Propionic acid,281,Propionic Acidemia,Children: 2-17 yrs old,Both,Blood,63.6 (7.5-119.7) uM,367403,,2226555.0
Propionic acid,231,Methylmalonic Acidemia,Children: 2-17 yrs old,Both,Blood,33.3 (9.2-57.4) uM,367403,,2226555.0
Sepiapterin,302,Sepiapterin Reductase Deficiency,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,0.0083 (0.0056-0.011) uM,1725,"Zorzi, G., Redweik, U., Trippe, H., Penzien, J. M., Thony, B. & Blau, N. Detection of sepiapterin in CSF of patients with sepiapterin reductase deficiency. Mol Genet Metab 75, 174-177 (2002).",11855937.0
Pyridoxine,126,Epilepsy,Children: 2-17 yrs old,Female,Cerebrospinal_Fluid,6.5e-05 (5.0e-05-8.0e-05) uM,366637,,27912044.0
Pyridoxine,304,Sickle Cell Anemia,Adult: >=18 yrs old,Both,Blood,0.12 (0.081-0.16) uM,1003,"van der Dijs, F. P., Schnog, J. J., Brouwer, D. A., Velvis, H. J., van den Berg, G. A., Bakker, A. J., Duits, A. J., Muskiet, F. D. & Muskiet, F. A. Elevated homocysteine levels indicate suboptimal folate status in pediatric sickle cell patients. Am J Hematol 59, 192-198 (1998).",9798656.0
Pyruvic acid,2093,Pearson Marrow Pancreas Syndrome,Children: 2-17 yrs old,Both,Urine,827.5 (400.0-1.3e+03) umol/mmol creatinine,366685,,25691415.0
Pyruvic acid,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,44.2 (30.6-57.9) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Pyruvic acid,557,Lewy Body Dementia,Adult: >=18 yrs old,Both,Saliva,138.3 (26.2-250.5) uM,366614,,23857558.0
Pyruvic acid,138,Fumarase Deficiency,Infant: 1 wk-2 yrs old,Male,Cerebrospinal_Fluid,299.0 (253.0-345.0) uM,366799,,24182348.0
Pyruvic acid,286,Pyruvate Dehydrogenase Deficiency,Children: 2-17 yrs old,Both,Cerebrospinal_Fluid,480.0 (210.0-750.0) uM,367508,,22079328.0
Pyruvic acid,222,Meningitis,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,195.0 (175.0-215.0) uM,1296,"Subramanian, A., Gupta, A., Saxena, S., Gupta, A., Kumar, R., Nigam, A., Kumar, R., Mandal, S. K. & Roy, R. Proton MR CSF analysis and a new software as predictors for the differentiation of meningitis in children. NMR Biomed 18, 213-225 (2005).",15627241.0
Pyruvic acid,1507,Hereditary Myopathy With Lactic Acidosis,Adult: >=18 yrs old,Both,Blood,710.0 uM,367382,,14213465.0
Pyruvic acid,3049,Pyruvate Dehydrogenase Phosphatase Deficiency,Infant: 1 wk-2 yrs old,Male,Blood,400.0 uM,312804,"Robinson, B. H. & Sherwood, W. G. Pyruvate dehydrogenase phosphatase deficiency: a cause of congenital chronic lactic acidosis in infancy. Pediatr Res 9, 935-939 (1975).",172850.0
Pyruvic acid,1297,"Fructose 1,6 Bisphosphatase Deficiency",Infant: 1 wk-2 yrs old,Female,Blood,500.0 uM,367350,,4341015.0
Pyruvic acid,1517,Leigh Syndrome,Infant: 1 wk-2 yrs old,Male,Blood,499.6 uM,366775,,4873809.0
Pyruvic acid,2397,G.R.A.C.I.L.E. Syndrome,Infant: 1 wk-2 yrs old,Both,Blood,120.0 (80.0-160.0) uM,159726,"Visapaa, I., Fellman, V., Vesa, J., Dasvarma, A., Hutton, J. L., Kumar, V., Payne, G. S., Makarow, M., Van Coster, R., Taylor, R. W., Turnbull, D. M., Suomalainen, A. & Peltonen, L. GRACILE syndrome, a lethal metabolic disorder with iron overload, is caused by a point mutation in BCS1L. Am J Hum Genet 71, 863-876 (2002).",12215968.0
Riboflavin,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,4.8 (0-10.5) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Riboflavin,1157,Brown Vialetto Van Laere Syndrome,Adolescent:13-18 yrs old,Unknown,Blood,0.0050 uM,366879,,27702554.0
Porphobilinogen,270,Porphyria,Adult: >=18 yrs old,Both,Urine,17.2 (74.9-41.6) umol/mmol creatinine,366880,,23908454.0
Porphobilinogen,270,Porphyria,Adult: >=18 yrs old,Both,Blood,3.1 (2.1-4.1) uM,1556,"Floderus, Y., Sardh, E., Moller, C., Andersson, C., Rejkjaer, L., Andersson, D. E. & Harper, P. Variations in porphobilinogen and 5-aminolevulinic acid concentrations in plasma and urine from asymptomatic carriers of the acute intermittent porphyria gene with increased porphyrin precursor excretion. Clin Chem 52, 701-707 (2006).",16497943.0
Sorbitol,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,52.2 umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Sorbitol,330,Uremia,Adult: >=18 yrs old,Both,Blood,17.0 (5.5-28.6) uM,366719,,12675874.0
Thyroxine,3985,Combined Pituitary Hormone Deficiency,Children: 2-17 yrs old,Female,Blood,9.0e-06 uM,367392,,25161449.0
Thyroxine,1692,Pendred Syndrome,Newborn: 0 day-1 wk,Both,Blood,0.083 (0.054-0.11) uM,366883,,1389454.0
Thyroxine,1212,Congenital Nongoitrous Hypothyroidism,Children: 2-17 yrs old,Male,Blood,0.019 (0.018-0.021) uM,366882,,7234795.0
Thyroxine,186,Hypothyroidism,Children: 2-17 yrs old,Both,Blood,39.1 (23.0-55.2) uM,311287,"Al Taji, E., Biebermann, H., Limanova, Z., Hnikova, O., Zikmund, J., Dame, C., Gruters, A., Lebl, J. & Krude, H. Screening for mutations in transcription factors in a Czech cohort of 170 patients with congenital and early-onset hypothyroidism: identification of a novel PAX8 mutation in dominantly inherited early-onset non-autoimmune hypothyroidism. Eur J Endocrinol 156, 521-529 (2007).",17468187.0
Thyroxine,115,Diabetes Mellitus Type 2,Newborn: 0 day-1 wk,Male,Blood,0.058 uM,367512,,11295725.0
Taurine,316,Sulfite Oxidase Deficiency,Children: 2-17 yrs old,Female,Urine,2.8e+08 umol/mmol creatinine,367378,,23452914.0
Taurine,1466,Molybdenum Cofactor Deficiency,Newborn: 0 day-1 wk,Unknown,Urine,1.3e+03 umol/mmol creatinine,367374,,8051926.0
Taurine,5705,Autosomal Dominant Polycystic Kidney Disease,Adult: >=18 yrs old,Both,Urine,0.039 (0.0027-0.075) umol/mmol creatinine,366750,,21389975.0
Pregnenolone,4299,"Congenital Adrenal Insufficiency with 46,XY Sex Reversal",Newborn: 0 day-1 wk,Female,Blood,0.0040 uM,198860,"Kim, C. J., Lin, L., Huang, N., Quigley, C. A., AvRuskin, T. W., Achermann, J. C. & Miller, W. L. Severe combined adrenal and gonadal deficiency caused by novel mutations in the cholesterol side chain cleavage enzyme, P450scc. J Clin Endocrinol Metab 93, 696-702 (2008).",18182448.0
Succinic acid,212,Lung Cancer,Adult: >=18 yrs old,Both,Urine,9.0 (3.0-15.0) umol/mmol creatinine,3,"Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).",18953024.0
Succinic acid,67,Canavan Disease,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,19.0 (0-38.0) uM,437,"Wevers, R. A., Engelke, U., Wendel, U., de Jong, J. G., Gabreels, F. J. & Heerschap, A. Standardized method for high-resolution 1H-NMR of cerebrospinal fluid. Clin Chem 41, 744-751 (1995).",7729054.0
Succinic acid,33,Alzheimer's Disease,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,55.0 (19.0-91.0) uM,136,"Redjems-Bennani, N., Jeandel, C., Lefebvre, E., Blain, H., Vidailhet, M. & Gueant, J. L. Abnormal substrate levels that depend upon mitochondrial function in cerebrospinal fluid from Alzheimer patients. Gerontology 44, 300-304 (1998).",9693263.0
Succinic acid,5988,Preeclampsia/Eclampsia,Adult: >=18 yrs old,Female,Blood,4.3 uM,367357,,22494326.0
Thiosulfate,1466,Molybdenum Cofactor Deficiency,Newborn: 0 day-1 wk,Unknown,Urine,53.0 umol/mmol creatinine,367374,,8051926.0
Serotonin,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,3.8 (0.17-7.3) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Serotonin,1886,Brunner Syndrome,Adult: >=18 yrs old,Male,Urine,0.18 (0.12-0.23) umol/mmol creatinine,366648,,8503438.0
Serotonin,186,Hypothyroidism,Adult: >=18 yrs old,Unknown,Cerebrospinal_Fluid,1.0e-05 (6.4e-06-1.4e-05) uM,1067,"Sjoberg, S., Eriksson, M. & Nordin, C. L-thyroxine treatment and neurotransmitter levels in the cerebrospinal fluid of hypothyroid patients: a pilot study. Eur J Endocrinol 139, 493-497 (1998).",9849813.0
Serotonin,262,Parkinson's Disease,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,0.0044 (0-0.0093) uM,1460,"Engelborghs, S., Marescau, B. & De Deyn, P. P. Amino acids and biogenic amines in cerebrospinal fluid of patients with Parkinson's disease. Neurochem Res 28, 1145-1150 (2003).",12834252.0
Serotonin,302,Sepiapterin Reductase Deficiency,Children: 2-17 yrs old,Male,Cerebrospinal_Fluid,0.0020 (-0.021-0.0020) uM,366762,,18502672.0
Thymine,114,Dihydropyrimidinase Deficiency,Adult: >=18 yrs old,Female,Urine,343.0 umol/mmol creatinine,366887,,2109146.0
Thymine,55,Beta Ureidopropionase Deficiency,Adult: >=18 yrs old,Unknown,Cerebrospinal_Fluid,0.12 (0.040-0.20) uM,391,"van Kuilenburg, A. B., Meinsma, R., Beke, E., Assmann, B., Ribes, A., Lorente, I., Busch, R., Mayatepek, E., Abeling, N. G., van Cruchten, A., Stroomer, A. E., van Lenthe, H., Zoetekouw, L., Kulik, W., Hoffmann, G. F., Voit, T., Wevers, R. A., Rutsch, F. & van Gennip, A. H. beta-Ureidopropionase deficiency: an inborn error of pyrimidine degradation associated with neurological abnormalities. Hum Mol Genet 13, 2793-2801 (2004).",15385443.0
Liothyronine,2185,Proprotein Convertase 1/3 Deficiency,Adult: >=18 yrs old,Female,Blood,4.1e-06 uM,191484,"O'Rahilly, S., Gray, H., Humphreys, P. J., Krook, A., Polonsky, K. S., White, A., Gibson, S., Taylor, K. & Carr, C. Brief report: impaired processing of prohormones associated with abnormalities of glucose homeostasis and adrenal function. N Engl J Med 333, 1386-1390 (1995).",7477119.0
Pyroglutamic acid,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,34.8 (17.2-52.3) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Pyroglutamic acid,151,Glutathione Synthetase Deficiency,Children: 2-17 yrs old,Both,Urine,2.1e+03 (137.6-4.1e+03) umol/mmol creatinine,366889,,25851806.0
Pyroglutamic acid,151,Glutathione Synthetase Deficiency,Adult: >=18 yrs old,Both,Blood,87.0 (13.0-161.0) uM,367339,MetaGene: Metabolic & Genetic Information Center ,
Sarcosine,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,12.0 (0-39.3) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Sarcosine,299,Sarcosinemia,Infant: 1 wk-2 yrs old,Female,Urine,2.7e+03 umol/mmol creatinine,366787,,2420598.0
Phosphoserine,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,146.7 (137.0-156.4) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Thymidine,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,3.4 (2.9-4.0) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Thymidine,67,Canavan Disease,Adult: >=18 yrs old,Both,Blood,0.31 (0.22-0.40) uM,441,"Tavazzi, B., Lazzarino, G., Leone, P., Amorini, A. M., Bellia, F., Janson, C. G., Di Pietro, V., Ceccarelli, L., Donzelli, S., Francis, J. S. & Giardina, B. Simultaneous high performance liquid chromatographic separation of purines, pyrimidines, N-acetylated amino acids, and dicarboxylic acids for the chemical diagnosis of inborn errors of metabolism. Clin Biochem 38, 997-1008 (2005).",16139832.0
D-Ribose,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,26.9 umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
D-Ribose,297,Ribose 5 Phosphate Isomerase Deficiency,Adolescent:13-18 yrs old,Both,Urine,50.0 (5.0-102.0) umol/mmol creatinine,1219,"Huck, J. H., Verhoeven, N. M., Struys, E. A., Salomons, G. S., Jakobs, C. & van der Knaap, M. S. Ribose-5-phosphate isomerase deficiency: new inborn error in the pentose phosphate pathway associated with a slowly progressive leukoencephalopathy. Am J Hum Genet 74, 745-751 (2004).",14988808.0
D-Ribose,297,Ribose 5 Phosphate Isomerase Deficiency,Adolescent:13-18 yrs old,Both,Cerebrospinal_Fluid,90.0 (47.0-146.0) uM,1219,"Huck, J. H., Verhoeven, N. M., Struys, E. A., Salomons, G. S., Jakobs, C. & van der Knaap, M. S. Ribose-5-phosphate isomerase deficiency: new inborn error in the pentose phosphate pathway associated with a slowly progressive leukoencephalopathy. Am J Hum Genet 74, 745-751 (2004).",14988808.0
Uridine 5'-monophosphate,33,Alzheimer's Disease,Adult: >=18 yrs old,Male,Saliva,1.2 (0.65-1.8) uM,366614,,23857558.0
Uric acid,1466,Molybdenum Cofactor Deficiency,Newborn: 0 day-1 wk,Unknown,Urine,20.0 umol/mmol creatinine,367374,,8051926.0
Uric acid,1296,Hereditary Fructose Intolerance,Adult: >=18 yrs old,Unknown,Urine,2.1e+03 (807.0-3.2e+03) umol/mmol creatinine,366841,,6268573.0
Uric acid,1900,Phosphoribosylpyrophosphate Synthetase Superactivity,Children: 2-17 yrs old,Male,Urine,1.7e+03 (1.2e+03-2.2e+03) umol/mmol creatinine,367400,,4340256.0
Uric acid,1466,Molybdenum Cofactor Deficiency,Infant: 1 wk-2 yrs old,Female,Urine,29.0 umol/mmol creatinine,366895,,3169394.0
Uric acid,67,Canavan Disease,Adult: >=18 yrs old,Both,Urine,1.6e+03 (805.3-2.3e+03) umol/mmol creatinine,441,"Tavazzi, B., Lazzarino, G., Leone, P., Amorini, A. M., Bellia, F., Janson, C. G., Di Pietro, V., Ceccarelli, L., Donzelli, S., Francis, J. S. & Giardina, B. Simultaneous high performance liquid chromatographic separation of purines, pyrimidines, N-acetylated amino acids, and dicarboxylic acids for the chemical diagnosis of inborn errors of metabolism. Clin Biochem 38, 997-1008 (2005).",16139832.0
Uric acid,1734,Xanthinuria Type 1,Children: 2-17 yrs old,Both,Urine,23.5 (0-47.0) umol/mmol creatinine,367401,,25370766.0
Uric acid,222,Meningitis,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,125.0 (35.5-215.0) uM,1304,"Kastenbauer, S., Koedel, U., Becker, B. F. & Pfister, H. W. Oxidative stress in bacterial meningitis in humans. Neurology 58, 186-191 (2002).",11805243.0
Uric acid,1164,Congenital Disorder of Glycosylation Type 1A,Infant: 1 wk-2 yrs old,Both,Blood,0.00043 (0.00042-0.00044) uM,367399,,3162953.0
Uric acid,290,Fanconi Syndrome,Adult: >=18 yrs old,Female,Blood,95.2 uM,367398,,1982686.0
Uric acid,1466,Molybdenum Cofactor Deficiency,Newborn: 0 day-1 wk,Female,Blood,59.5 (-529.4-59.5) uM,366896,,12872846.0
Uric acid,1900,Phosphoribosylpyrophosphate Synthetase Superactivity,Infant: 1 wk-2 yrs old,Male,Blood,591.9 (505.6-678.1) uM,367400,,4340256.0
Uric acid,1297,"Fructose 1,6 Bisphosphatase Deficiency",Infant: 1 wk-2 yrs old,Female,Blood,713.8 uM,367350,,4341015.0
Uric acid,1466,Molybdenum Cofactor Deficiency,Infant: 1 wk-2 yrs old,Female,Blood,23.0 uM,366895,,3169394.0
Uric acid,67,Canavan Disease,Adult: >=18 yrs old,Both,Blood,1.8e+03 (902.5-2.7e+03) uM,441,"Tavazzi, B., Lazzarino, G., Leone, P., Amorini, A. M., Bellia, F., Janson, C. G., Di Pietro, V., Ceccarelli, L., Donzelli, S., Francis, J. S. & Giardina, B. Simultaneous high performance liquid chromatographic separation of purines, pyrimidines, N-acetylated amino acids, and dicarboxylic acids for the chemical diagnosis of inborn errors of metabolism. Clin Biochem 38, 997-1008 (2005).",16139832.0
