abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite
aconm,,,,E-3-carboxy-2-pentenedioate 6-methyl ester,,,,,,,,,,
acorn,,16543,"Human Metabolome Database (HMDB): N-Acetylornithine is a minor components of deproteinized blood plasma of human blood. Human blood plasma contains a variable amount of acetylornithine, averaging 1.1 +/- 0.4 mumol/l (range 0.8--0.2 mumol/l). Urine contains a very small amount of acetylornithine, approximately 1 nmol/mg creatinine (1 mumol/day). (PMID: 508804).",N-Acetylornithine,HMDB0003357,,,C00437,N-ALPHA-ACETYLORNITHINE,FDB023152,acorn,[H]N(C(=O)C([H])([H])[H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H],JRLGPAXAGHMNOL-LURJTMIESA-N,"InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1"
ACP,,,,Acyl Carrier Protein,,,,C00229,,,,[H]S[*],,
acrn,3040-38-8,57589,"Human Metabolome Database (HMDB): L-Acetylcarnitine is an acetic acid ester of carnitine that facilitates movement of acetyl CoA into the matrices of mammalian mitochondria during the oxidation of fatty acids. In addition to his metabolic role, acetyl-L-carnitine (ALC) posses unique neuroprotective, neuromodulatory, and neurotrophic properties this may play an important role in counteracting various disease processes. (PubMed ID 15363640).",L-Acetylcarnitine,HMDB0000201,,,C02571,(-)o-acetylcarnitine,FDB021904,acrn,[H]C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],RDHQFKQIGNGIED-MRVPVSSYSA-N,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1"
acryl,10344-93-1,,"Human Metabolome Database (HMDB): Polyacrylic acid, sodium salt is used as a food additive [EAFUS] (""EAFUS: Everything Added to Food in the United States. [http://www.eafus.com/]"")",Acrylate,HMDB0031647,,,,,,,[H]C([H])=C([H])C([O-])=O,NIXOWILDQLNWCW-UHFFFAOYSA-M,"InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)/p-1"
acser,66638-22-0,17981,Human Metabolome Database (HMDB): O-Acetylserine (OASS) is an acylated amino acid derivative. It is an intermediate in the biosynthesis of the common amino acid cysteine in bacteria and plants. Its presence in humans arises from either microbial metabolism in the gut or through consumption of foods containing OASS.,O-Acetyl-L-serine,HMDB0003011,,,C00979,,,,,,
actACP,,,,Acetoacetyl-ACP,,,,,,,,,,
acthr_L,,,,Acetyl-Threonine ,,,,,,,acthr_L,[H]OC([H])(C([H])([H])[H])C([H])(N([H])C(=O)C([H])([H])[H])C([O-])=O,PEDXUVCGOLSNLQ-UHFFFAOYSA-M,"InChI=1S/C6H11NO4/c1-3(8)5(6(10)11)7-4(2)9/h3,5,8H,1-2H3,(H,7,9)(H,10,11)/p-1"
actn_R,,,"Human Metabolome Database (HMDB): Acetoin is a product of fermentation. It is a component of the butanediol cycle in microorganisms. In mammals it is oxidized to carbon dioxide. -- Pubchem; '3-Hydroxybutanone, also known as acetoin or acetyl methyl carbinol, is a chemical compound composed of carbon, hydrogen and oxygen. Its formula is C4H8O2. It is a colourless or pale yellow to green yellow liquid with a pleasant buttery odour. It is used as a food flavoring and a fragrance. -- Wikipedia.",(R)-Acetoin,HMDB0003243,,,,,,,,,
actn_S,,,,(S)-Acetoin,,,,,,,,,,
actp,,,"Human Metabolome Database (HMDB): Acetylphosphate or actyl phosphate is a compound involved in taurine and hypotaurine metabolism as well as pyruvate metabolism. It is generated from sulfoacetaldehyde, converted to acetyl-CoA and acetate via phosphate acetyltransferase (EC:2.3.1.8) and acetate kinase (EC:2.7.2.1) respectively. It is also an intermediate in pyruvate metabolism. It is generated from pyruvate and the formation is catalyzed by pyruvate oxidase (EC:1.2.3.3).",Acetyl phosphate,HMDB0001494,,,,,,,,,
actyr,537-55-3,,,N-Acetyl-Tyrosine,,,,,,,actyr,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([O-])=O,CAHKINHBCWCHCF-JTQLQIEISA-M,"InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/p-1/t10-/m0/s1"
ad,,,"Human Metabolome Database (HMDB): Acetamide is found in red beetroot. Acetamide (or acetic acid amide or ethanamide), CH3CONH2, the amide of acetic acid, is a white crystalline solid in pure form. It is produced by dehydrating ammonium acetate",Acetamide,HMDB0031645,,,,,,,,,
adchac,,,,Allodeoxycholic Acid,,,,,,,,,,
adcobdam,,,"Human Metabolome Database (HMDB): Adenosyl cobyrinic acid a,c diamide is an intermediate in the metabolism of Porphyrin and chlorophyll. It is a substrate for Cob(I)yrinic acid a,c-diamide adenosyltransferase (mitochondrial).",Adenosyl cobyrinate diamide,HMDB0001083,,,C06506,,,,,,
adcobhex,,,"Human Metabolome Database (HMDB): Adenosyl cobyrinic acid a,c diamide is an intermediate in the metabolism of Porphyrin and chlorophyll. It is a substrate for Cob(I)yrinic acid a,c-diamide adenosyltransferase (mitochondrial).","Adenosyl cobyrinic acid a,c diamide",HMDB0001083,,,C06506,CPD-690,FDB022414,,,OCNLJCZKGHKJGF-QOCQOLRHSA-M,
ade,73-24-5,16708,"Human Metabolome Database (HMDB): Adenine is a purine base. Adenine is found in both DNA and RNA. Adenine is a fundamental component of adenine nucleotides. Adenine forms adenosine, a nucleoside, when attached to ribose, and deoxyadenosine when attached to deoxyribose; it forms adenosine triphosphate (ATP), a nucleotide, when three phosphate groups are added to adenosine. Adenosine triphosphate is used in cellular metabolism as one of the basic methods of transferring chemical energy between chemical reactions. Purine inborn errors of metabolism (IEM) are serious hereditary disorders, which should be suspected in any case of neonatal fitting, failure to thrive, recurrent infections, neurological deficit, renal disease, self-mutilation and other manifestations. Investigation usually starts with uric acid (UA) determination in urine and plasma. (OMIM 300322, 229600, 603027, 232400, 232600, 232800, 201450, 220150, 232200, 162000, 164050, 278300). (PMID: 17052198, 17520339).",Adenine,HMDB0000034,,,C00147,ADENINE,FDB012266,ade,[H]N([H])C1=C2N=C([H])N([H])C2=NC([H])=N1,GFFGJBXGBJISGV-UHFFFAOYSA-N,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)"
adhap_hs,,15835,,Acyl-Dihydroxyacetone Phosphate,,,,C03372,,,,[H]C([H])(OC([*])=O)C(=O)C([H])([H])OP([O-])([O-])=O,,
adhlam,,,"Human Metabolome Database (HMDB): S-Acetyldihydrolipoamide is a thio-acetylated form of dihydrolipoamide. The molecule is commonly conjugated to lysine residues. The structure shown is the free form of the molecule. Pyruvate dehydrogenase complex. The reaction is 2-(alpha-hydroxyethyl)-TPP + lipoamide => S-acetyldihydrolipoamide + TPP [Homo sapiens], occuring in mitochondrial matrix. (reactome.org). S-Acetyldihydrolipoamide is an intermediate in alanine, aspartate and pyruvate metabolism and glycolysis/gluconeogenesis (KEGG:C01136). It is converted from 2-hydroxyethyl-THPP and lipoamide via the enzyme pyruvate dehydrogenase (EC:1.2.4.1). It is then converted to acetyl-CoA via the enzyme pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) (EC:2.3.1.12).",S-Acetyldihydrolipoamide,HMDB0001526,,,,,,,,,
adn,58-61-7,16335,"Human Metabolome Database (HMDB): Adenosine is a nucleoside that is composed of adenine and D-ribose. Adenosine or adenosine derivatives play many important biological roles in addition to being components of DNA and RNA. For instance, adenosine plays an important role in energy transfer as adenosine triphosphate (ATP) and adenosine diphosphate (ADP). It also plays a role in signal transduction as cyclic adenosine monophosphate (cAMP). Adenosine itself is both a neurotransmitter and potent vasodilator. When administered intravenously adenosine causes transient heart block in the AV node. Due to the effects of adenosine on AV node-dependent supraventricular tachycardia, adenosine is considered a class V antiarrhythmic agent. Overdoses of adenosine intake (as a drug) can lead to several side effects including chest pain, feeling faint, shortness of breath, and tingling of the senses. Serious side effects include a worsening dysrhythmia and low blood pressure. When present in sufficiently high levels, adenosine can act as an immunotoxin and a metabotoxin. An immunotoxin disrupts, limits the function, or destroys immune cells. A metabotoxin is an endogenous metabolite that causes adverse health effects at chronically high levels. Chronically high levels of adenosine are associated with adenosine deaminase deficiency. Adenosine is a precursor to deoxyadenosine, which is a precursor to dATP. A buildup of dATP in cells inhibits ribonucleotide reductase and prevents DNA synthesis, so cells are unable to divide. Since developing T cells and B cells are some of the most mitotically active cells, they are unable to divide and propagate to respond to immune challenges. High levels of deoxyadenosine also lead to an increase in S-adenosylhomocysteine, which is toxic to immature lymphocytes.",Adenosine,HMDB0000050,,,C00212,ADENOSINE,FDB003554,adn,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])O[H],OIRDTQYFTABQOQ-KQYNXXCUSA-N,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1"
adocbi,,,"Human Metabolome Database (HMDB): Adenosyl cobinamide is an intermediate in vitamin B12 cofactor biosynthesis and adenosylcobalamin synthesis. It is a substrate for the enzyme Cob(I)yrinic acid a,c-diamide adenosyltransferase which is found in the mitochondria. The enzyme is responsible for the following 2 step reaction: ATP + cob(I)yrinic acid a,c-diamide = triphosphate + adenosylcob(III)yrinic acid a,c-diamide and then ATP + cobinamide = triphosphate + adenosylcobinamide.",Adenosyl cobinamide,HMDB0006903,,,,,,,,,
adocbip,,,"Human Metabolome Database (HMDB): Adenosyl cobinamide phosphate, a known intermediate of the de novo biosynthetic pathway, is involved in Porphyrin and chlorophyll metabolism.In Salmonella typhimurium LT2, under anaerobic conditions, CobU (EC 2.7.7.62 and EC 2.7.1.156), CobT (EC 2.4.2.21), CobC (EC 3.1.3.73) and CobS (EC 2.7.8.26) catalyse reactions in the nucleotide loop. assembly pathway, which convert adenosylcobinamide (AdoCbi) into. adenosylcobalamin (AdoCbl). CobT and CobC are involved in 5,6-dimethylbenzimidazole activation whereby. 5,6-dimethylbenzimidazole is converted to its riboside,. alpha-ribazole. The second branch of the nuclotide loop assembly. pathway is the cobinamide (Cbi) activation branch where AdoCbi or. adenosylcobinamide-phosphate is converted to the activated. intermediate AdoCbi-GDP by the bifunctional enzyme Cob U. The final. step in adenosylcobalamin biosynthesis is the condensation of. AdoCbi-GDP with alpha-ribazole, which is catalysed by EC 2.7.8.26,. cobalamin synthase (CobS), to yield adenosylcobalamin.",Adenosyl cobinamide phosphate,HMDB0012184,,,,,,,,,
adocbl,13870-90-1,18408,"Human Metabolome Database (HMDB): Adenosylcobalamin is one of two metabolically active forms synthesized upon ingestion of vitamin B12 and is the predominant form in the liver; it acts as a coenzyme in the reaction catalyzed by methylmalonyl-CoA mutase. A cobalamin (cbl) derivative in which the substituent is deoxyadenosyl. It is one of two metabolically active forms synthesized upon ingestion of vitamin B12 and is the predominant form in the liver; it acts as a coenzyme in the reaction catalyzed by methylmalonyl-CoA mutase (MCM; E.C. 5.4.99.2). Inborn errors of vitamin B12 metabolism are autosomal recessive disorders and have been classified into nine distinct complementation classes. Disorders affecting adenosylcobalamin cause methylmalonic acidemia and metabolic acidosis. Methylmalonyl-CoA mutase catalyzes the conversion of L-methylmalonyl-CoA to succinyl-CoA and uses adenosylcobalamin (AdoCbl) as a cofactor. Cbl must be transported into mitochondria, reduced and adenosylated before it can be utilized by MCM. (PMID: 17011224).",Adenosylcobalamin,HMDB0002086,,,C00194,ADENOSYLCOBALAMIN-5-P,FDB022837,,[N+]12=C3[C@](C([H])([H])C([H])([H])C(=O)N([H])[H])([H])C(C1=C(C1=[N+]4[Co-3]225([N+]6=C(C(C([H])([H])[H])=C4[C@](C([H])([H])[H])([C@@]1(C(C([H])([H])C(=O)N([H])[H])([H])[H])[H])C([H])([H])C(N([H])[H])=O)[C@@](C([H])([H])C([H])([H])C(N([H])[H])=O)([C@@]([C@@]6([C@@]1([H])[C@@]([C@](C(N21)=C3C([H])([H])[H])(C([H])([H])C(C(=O)N([H])C([H])([H])[C@@](C([H])([H])[H])(OP([O-])(O[C@@]1([H])[C@]([H])([C@@](O[C@@]1(C(O[H])([H])[H])[H])([H])N1C(=[N+]5C2=C([H])C(C([H])([H])[H])=C(C([H])=C12)C([H])([H])[H])[H])O[H])=O)[H])([H])[H])C([H])([H])[H])(C(C(N([H])[H])=O)([H])[H])[H])C([H])([H])[H])(C([H])([H])C(=O)N([H])[H])C([H])([H])[H])[H])C([C@]1(O[C@]([C@@]([H])([C@]1([H])O[H])O[H])(N1C([H])=NC2=C(N([H])[H])N=C(N=C12)[H])[H])[H])([H])[H])[H])(C([H])([H])[H])C([H])([H])[H],ZIHHMGTYZOSFRC-OUCXYWSSSA-L,"InChI=1S/C62H90N13O14P.C10H12N5O3.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);2-4,6-7,10,16-17H,1H2,(H2,11,12,13);/q;;+2/p-2/t31-,34-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;4-,6-,7-,10-;/m11./s1"
adp,58-64-0,16761,"Human Metabolome Database (HMDB): Adenosine diphosphate, abbreviated ADP, is a nucleotide. It is an ester of pyrophosphoric acid with the nucleotide adenine. ADP consists of the pyrophosphate group, the pentose sugar ribose, and the nucleobase adenine. ADP is the product of ATP dephosphorylation by ATPases. ADP is converted back to ATP by ATP synthases.",ADP,HMDB0001341,,,C00008,ADP,FDB021817,adp,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP([O-])(=O)OP([O-])([O-])=O)[C@@]1([H])O[H])N1C([H])=NC2=C(N=C([H])N=C12)N([H])[H],XTWYTFMLZFPYCI-KQYNXXCUSA-K,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/p-3/t4-,6-,7-,10-/m1/s1"
adpac,124-04-9,30832,"Human Metabolome Database (HMDB): Adipic acid is an important inudstrial dicarboxylic acid with about 2.5 billion kilograms produced per year. It is used mainly in the production of nylon. It occurs relatively rarely in nature. It has a tart taste and is also used as an additive and gelling agent in jello or gelatins. It is also used in some calcium carbonate antacids to make them tart. Adipic acid has also been incorporated into controlled-release formulation matrix tablets to obtain pH-independent release for both weakly basic and weakly acidic drugs. Adipic acid in the urine and in the blood is typically exogenous in origin and is a good biomarker of jello consumption. In fact, a condition known as adipic aciduria is actually an artifact of jello consumption (PMID: 1779643). However, certain disorders (such as diabetes and glutaric aciduria type I.) can lead to elevated levels of adipic acid snd other dicarboxcylic acids (such as suberic acid) in urine (PMID: 17520433; PMID: 6778884). Moreover, adipic acid is also found to be associated with 3-hydroxy-3-methylglutaryl-CoA lyase deficiency, carnitine-acylcarnitine translocase deficiency, malonyl-Coa decarboxylase deficiency, and medium Chain acyl-CoA dehydrogenase deficiency, which are inborn errors of metabolism.",Adipic acid,HMDB0000448,,,C06104,ADIPATE,FDB008309,adpac,[H]C([H])(C([O-])=O)C([H])([H])C([H])([H])C([H])([H])C([O-])=O,WNLRTRBMVRJNCN-UHFFFAOYSA-L,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)/p-2"
adpcoa,,,,Adipoyl Coenzyme A,,,,,,,adpcoa,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,SPNAEHGLBRRCGL-BIEWRJSYSA-I,"InChI=1S/C27H44N7O19P3S/c1-27(2,22(40)25(41)30-8-7-16(35)29-9-10-57-18(38)6-4-3-5-17(36)37)12-50-56(47,48)53-55(45,46)49-11-15-21(52-54(42,43)44)20(39)26(51-15)34-14-33-19-23(28)31-13-32-24(19)34/h13-15,20-22,26,39-40H,3-12H2,1-2H3,(H,29,35)(H,30,41)(H,36,37)(H,45,46)(H,47,48)(H2,28,31,32)(H2,42,43,44)/p-5/t15-,20-,21-,22+,26-/m1/s1"
adpglc,2140-58-1,15751,"Human Metabolome Database (HMDB): Serves as the glycosyl donor for formation of bacterial glycogen, amylose in green algae, and amylopectin in higher plants.",ADP-glucose,HMDB0006557,,,C00498,ADP-D-GLUCOSE,FDB001211,,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]2([H])O[C@@]([H])(N3C([H])=NC4=C(N=C([H])N=C34)N([H])[H])[C@]([H])(O[H])[C@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],WFPZSXYXPSUOPY-ROYWQJLOSA-L,"InChI=1S/C16H25N5O15P2/c17-13-7-14(19-3-18-13)21(4-20-7)15-11(26)9(24)6(33-15)2-32-37(28,29)36-38(30,31)35-16-12(27)10(25)8(23)5(1-22)34-16/h3-6,8-12,15-16,22-27H,1-2H2,(H,28,29)(H,30,31)(H2,17,18,19)/p-2/t5-,6-,8-,9-,10+,11-,12-,15-,16-/m1/s1"
adphep_DD,,,,ADP-D-glycero-D-manno-heptose,,,,,,,,,,
adphep_LD,,,,ADP-L-glycero-D-manno-heptose,,,,,,,,,,
adpman,28447-34-9,28845,"Human Metabolome Database (HMDB): ADP-mannose is one of the major substrates of human hydrolases. Nudix hydrolases catalyze the hydrolysis of a variety of nucleoside diphosphate derivatives, and ADP-sugar pyrophosphatase are non-specific nucleoside diphosphosugar or diphosphoalcohol (NDP-X) pyrophosphatases, which hydrolyse some nonreducing NDP-X substrates. It has been found in erythrocytes, placenta and liver. (PMID: 1128712, 10722730, 9693963).",ADP-Mannose,HMDB0006369,,,C06192,ADP-MANNOSE,FDB023906,adpman,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]2([H])O[C@@]([H])(N3C([H])=NC4=C(N=C([H])N=C34)N([H])[H])[C@]([H])(O[H])[C@]2([H])O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],WFPZSXYXPSUOPY-KXHLDQJJSA-L,"InChI=1S/C16H25N5O15P2/c17-13-7-14(19-3-18-13)21(4-20-7)15-11(26)9(24)6(33-15)2-32-37(28,29)36-38(30,31)35-16-12(27)10(25)8(23)5(1-22)34-16/h3-6,8-12,15-16,22-27H,1-2H2,(H,28,29)(H,30,31)(H2,17,18,19)/p-2/t5-,6-,8-,9-,10+,11-,12+,15-,16-/m0/s1"
adpoh,,,,2-Hydroxyadipic Acid,,,,,,,adpoh,[H]OC([H])(C([O-])=O)C([H])([H])C([H])([H])C([H])([H])C([O-])=O,OTTXIFWBPRRYOG-UHFFFAOYSA-L,"InChI=1S/C6H10O5/c7-4(6(10)11)2-1-3-5(8)9/h4,7H,1-3H2,(H,8,9)(H,10,11)/p-2"
adprbp,26303-90-2,37463,"Human Metabolome Database (HMDB): ADP-ribose 2'-phosphate is an intermediate metabolite in vitamin and cofactor metabolism, more specifically NAD metabolism. In the cytosol, ADP-ribose 2'-phosphate is irreversibly produced from NADP via the enzyme NAD(P)+ nucleosidase [EC:3.2.2.6]. (BiGG Database).",ADP-ribose 2'-phosphate,HMDB0006336,,,C03246,CPD-861,FDB002991,adprbp,[H]OC([H])([H])[C@@]1([H])OC([H])(OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]2([H])O[C@@]([H])(N3C([H])=NC4=C(N=C([H])N=C34)N([H])[H])[C@]([H])(OP([O-])([O-])=O)[C@]2([H])O[H])[C@]([H])(O[H])[C@]1([H])O[H],OCOLIMYIUOUURJ-IEXJHJBLSA-J,"InChI=1S/C15H24N5O17P3/c16-12-7-13(18-3-17-12)20(4-19-7)14-11(35-38(25,26)27)9(23)6(33-14)2-32-39(28,29)37-40(30,31)36-15-10(24)8(22)5(1-21)34-15/h3-6,8-11,14-15,21-24H,1-2H2,(H,28,29)(H,30,31)(H2,16,17,18)(H2,25,26,27)/p-4/t5-,6-,8-,9-,10-,11-,14-,15?/m0/s1"
adprib,20762-30-5,16960,"Human Metabolome Database (HMDB): Adenosine diphosphate ribose is a molecule formed into poly(ADP-ribose) or PAR chains by the enzyme poly ADP ribose polymerase or PARP. PARP is found in every cell nucleus. Its main role is to detect and signal single-strand DNA breaks (SSB) to the enzymatic machinery involved in the SSB repair. PARP activation is an immediate cellular response to metabolic, chemical, or radiation-induced DNA SSB damage. Once PARP detects a SSB, it binds to the DNA, and, after a structural change, begins the synthesis of a poly (ADP-ribose) chain (PAR) as a signal for the other DNA-repairing enzymes such as DNA ligase III (LigIII), DNA polymerase beta, and scaffolding proteins such as X-ray cross-complementing gene 1 (XRCC1). After repairing, the PAR chains are degraded via PAR glycohydrolase (PARG). ADP-ribose binds to and activates the TRPM2 ion channel. Adenosine diphosphate ribose is an intermediate in NAD metabolism. The enzyme NAD(P)+ nucleosidase [EC:3.2.2.6] catalyzes the production of this metabolite from nicotinamide adenine dinucleotide phosphate. This reaction is irreversible and occurs in the cytosol.",Adenosine diphosphate ribose,HMDB0001178,,,C00301,ADENOSINE_DIPHOSPHATE_RIBOSE,FDB022468,adprib,[H]OC1([H])O[C@]([H])(C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]2([H])O[C@@]([H])(N3C([H])=NC4=C(N=C([H])N=C34)N([H])[H])[C@]([H])(O[H])[C@]2([H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],SRNWOUGRCWSEMX-IEXJHJBLSA-L,"InChI=1S/C15H23N5O14P2/c16-12-7-13(18-3-17-12)20(4-19-7)14-10(23)8(21)5(32-14)1-30-35(26,27)34-36(28,29)31-2-6-9(22)11(24)15(25)33-6/h3-6,8-11,14-15,21-25H,1-2H2,(H,26,27)(H,28,29)(H2,16,17,18)/p-2/t5-,6-,8-,9-,10-,11-,14-,15?/m0/s1"
adrn,2091-25-0,53487,"Human Metabolome Database (HMDB): Adrenic acid, which is a prostacyclin inhibitor, appears to be potential prothrombotic agent. (PMID 1642692).",Adrenic acid,HMDB0002226,,,C16527,,FDB022918,adrn,[H]\C(=C(/[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,TWSWSIQAPQLDBP-UXGBKZFVSA-M,"InChI=1S/C22H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-21H2,1H3,(H,23,24)/p-1/b7-6-,10-9?,13-12-,16-15-"
adrncoa,,,Human Metabolome Database (HMDB): This compound belongs to the family of Acyl CoAs. These are organic compounds contaning a coenzyme A substructure linked to another moeity through an ester bond.,Adrenyl coenzyme A,HMDB0060208,,,C16170,,,adrncoa,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,LVXQCHCSSLFKLO-GKLWCFAUSA-J,"InChI=1S/C43H70N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-34(52)71-27-26-45-33(51)24-25-46-41(55)38(54)43(2,3)29-64-70(61,62)67-69(59,60)63-28-32-37(66-68(56,57)58)36(53)42(65-32)50-31-49-35-39(44)47-30-48-40(35)50/h8-9,11-12,14-15,17-18,30-32,36-38,42,53-54H,4-7,10,13,16,19-29H2,1-3H3,(H,45,51)(H,46,55)(H,59,60)(H,61,62)(H2,44,47,48)(H2,56,57,58)/p-4/b9-8-,12-11-,15-14-,18-17?/t32-,36-,37-,38+,42-/m1/s1"
adrncrn,,,,Ocosatetraenoylcarnitine,,,,,,,adrncrn,[H]\C(=C(/[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],OLORTLVEDIELGC-SNPVRQPZSA-N,"InChI=1S/C29H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-29(33)34-27(25-28(31)32)26-30(2,3)4/h9-10,12-13,15-16,18-19,27H,5-8,11,14,17,20-26H2,1-4H3/b10-9-,13-12-,16-15-,19-18-"
