name_of_disease,abbreviation_of_disease,type_of_disease,notes_of_disease,phenotype,organ_affected,cheblid_of_biomarker,description_of_biomarker,fullname_of_biomarker,abbreviation_of_biomarker,inchikey_of_biomarker,inchistring_of_biomarker,keggid_of_biomarker,casregistry_of_biomarker,value_of_biomarker,normal_conc_of_biomarker,ramedis_of_biomarker,range_conc_of_biomarker,biocyc_biomarker,smile_biomarker,hmdb_biomarker,reconMap3_biomarker,food_db_biomarker,pubChemId_biomarker
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",,,Hexanoyl Carnitine,c6crn,VVPRQWTYSNDTEA-UHFFFAOYSA-N,"InChI=1S/C13H25NO4/c1-5-6-7-8-13(17)18-11(9-12(15)16)10-14(2,3)4/h11H,5-10H2,1-4H3",,,Increased,0.02 - 0.16,,0.13 - 1.5,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,c6crn,,6426853
Medium Chain Acyl-Coenzyme A Dehydrogenase Deficiency,MCAD,Inherited metabolic disorder,"Increase C8/C10 and C10:1 in blood, increased medium chain dicarboxylic acids in urine","Classic MCAD deficiency and Mild MCAD deficiency. Iafolla et al. (1994) -survivors have a risk of developmental disability, chronic muscle weakness, failure to thrive, and 'cerebral palsy.'","Liver, nervous system",,,Hexanoyl Carnitine,c6crn,VVPRQWTYSNDTEA-UHFFFAOYSA-N,"InChI=1S/C13H25NO4/c1-5-6-7-8-13(17)18-11(9-12(15)16)10-14(2,3)4/h11H,5-10H2,1-4H3",,,Increased,0.06 - 0.09,"192, 189, 316, 336",0.33 - 2.75,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,c6crn,,6426853
Beta-Ketothiolase Deficiency,BKT,Inherited metabolic disorder,"In blood-increased C5:1, C5OH. In urine-hydroxybutyric acid, tiglyl glycine etc.",Severe metabolic acidosis is the hallmark,Nervous system,73027,,3-Hydroxy-Isovaleryl Carnitine,3ivcrn,IGLHHSKNBDXCEY-UHFFFAOYSA-N,"InChI=1S/C12H23NO5/c1-12(2,17)7-11(16)18-9(6-10(14)15)8-13(3,4)5/h9,17H,6-8H2,1-5H3",,,Increased,0.06 - 0.36,,0.75 - 1.60,,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0061189,3ivcrn,,53915061
Biotinidase Deficiency,BTD,Inherited metabolic disorder,"In blood- increased C5OH, NH3, ketone bodies. In urine-increased 3-hydroxyisovaleric acid, 3-hydroxypropionic acid, 3-methylcrotonylglycine, methylcitiric acid, acylcarnitine, lactate.","Profound biotinidase deficiency alleles, carriers of profound biotinidase deficiency, compound heterozygotes. Gaudry et al. (1983) confirmed biotinidase deficiency in a patient with multiple carboxylase deficiency and showed that the deficiency is present also in liver.","Muscle, nervous system",73027,,3-Hydroxy-Isovaleryl Carnitine,3ivcrn,IGLHHSKNBDXCEY-UHFFFAOYSA-N,"InChI=1S/C12H23NO5/c1-12(2,17)7-11(16)18-9(6-10(14)15)8-13(3,4)5/h9,17H,6-8H2,1-5H3",,,Increased,0.06 - 0.36,,1.10 - 3.50,,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0061189,3ivcrn,,53915061
Holocarboxylase Synthetase Deficiency,HCS,Inherited metabolic disorder,"In urine-increased 3-hydroxyisovaleric acid, 3-OHC5, 3-hydroxy propionic acid, 3-methylcrotonylglycine etc.",,,73027,,3-Hydroxy-Isovaleryl Carnitine,3ivcrn,IGLHHSKNBDXCEY-UHFFFAOYSA-N,"InChI=1S/C12H23NO5/c1-12(2,17)7-11(16)18-9(6-10(14)15)8-13(3,4)5/h9,17H,6-8H2,1-5H3",,,Increased,0.06 - 0.36,,1.10 - 3.50,,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0061189,3ivcrn,,53915061
3-Methylcrotonyl CoA Carboxylase Deficiency,3MCC,Inherited metabolic disorder,"Increased C5OH in blood. In urine-3-hydroxyisovaleric acid, 3-methylcrotonylglycine, and ketone bodies are increased.","2 types- 1) 3-methylcrotonylglycinuria I is caused by mutation in the gene encoding the alpha subunit of 3-methylcrotonyl-CoA carboxylase(MCCC1). 2) 3-methylcrotonylglycinuria II, or MCC2 deficiency, is caused by mutation in the gene encoding the beta subunit of 3-methylcrotonyl-CoA carboxylase (MCCC2). There is gross neutrophilia, transient alopecia, and fatty liver. Mutations in the MCCC1 or MCCC2  gene reduce or eliminate the activity of 3-MCC, preventing the body from processing leucine, causing  toxic build-up of by-products of leucine metabolism, which can damage the brain.","Nervous system,  muscle",73027,,3-Hydroxy-Isovaleryl Carnitine,3ivcrn,IGLHHSKNBDXCEY-UHFFFAOYSA-N,"InChI=1S/C12H23NO5/c1-12(2,17)7-11(16)18-9(6-10(14)15)8-13(3,4)5/h9,17H,6-8H2,1-5H3",,,Increased,0.06 - 0.36,"213, 592",1.40 - 11.80,,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0061189,3ivcrn,,53915061
HMG-Coenzyme A Lyase Deficiency,HMG,Inherited metabolic disorder,"3-methylglutaconic acid increased, C6DC increased in blood, in urine-increased 3-methylglutaconic acid, adipic acid, 3-methyl glutaryl acid etc.",,"Liver, pancreas",73027,,3-Hydroxy-Isovaleryl Carnitine,3ivcrn,IGLHHSKNBDXCEY-UHFFFAOYSA-N,"InChI=1S/C12H23NO5/c1-12(2,17)7-11(16)18-9(6-10(14)15)8-13(3,4)5/h9,17H,6-8H2,1-5H3",,,Increased,0.06 - 0.36,,1.00 - 4.70,,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0061189,3ivcrn,,53915061
3-Methylglutaconic Aciduria Type I,3MGA,Inherited metabolic disorder,"In urine-elevated 3-hydroxyisovaleric acid, 3-methylglutaric acid, 3-methylglutanoic acid etc.","There are five types of 3-methylglutaconic aciduria numbered I, II, III, IV, and V. Types I-III and V are caused by mutations in four different genes and have distinct signs and symptoms. The genetic cause of 3-methylglutaconic aciduria type IV has not been established. The common link among all types of 3-methylglutaconic aciduria is the excretion of large amounts of 3-methylglutaconic acid and 3-methylglutaric acid in the urine.",Nervous system,73027,,3-Hydroxy-Isovaleryl Carnitine,3ivcrn,IGLHHSKNBDXCEY-UHFFFAOYSA-N,"InChI=1S/C12H23NO5/c1-12(2,17)7-11(16)18-9(6-10(14)15)8-13(3,4)5/h9,17H,6-8H2,1-5H3",,,Increased,0.06 - 0.36,,0.10 - 3.00,,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0061189,3ivcrn,,53915061
"2,4-Dienoyl-CoA Reductase Deficiency",DECR,Inherited metabolic disorder,"Elevated blood trans-2,cis-4-decadienoylcarnitine (C10:2) and lysine levels. Reduced blood carnitine and glucose. Hypoglycemia, hyperlysinemia, hypocarnitinemia, normal organic acid profile, and an unusual acylcarnitine species in both urine and blood.",Affected individuals have a severe encephalopathy with neurologic and metabolic dysfunction beginning in early infancy.,Brain,,"Human Metabolome Database (HMDB): 2-trans,4-cis-decadienoylcarnitine is classified as a member of the fatty acid esters. Fatty acid esters are carboxylic ester derivatives of a fatty acid. 2-trans,4-cis-decadienoylcarnitine is considered to be a practically insoluble (in water) and a weak acidic compound. Within a cell, 2-trans,4-cis-decadienoylcarnitine is primarily located in the extracellular space and near the membrane.","2-trans,4-cis-Decadienoylcarnitine",decdicrn,GDMITEPIMYKPHX-USKNYQQNSA-N,"InChI=1S/C17H29NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(18(2,3)4)13-14-16(19)20/h9-12,15H,5-8,13-14H2,1-4H3/b10-9-,12-11+/t15-/m0/s1",,,Increased,0.0007 - 0.06,,0.11-0.12,CPD-8261,[H]\C(\C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C(\[H])C(=O)O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0013325,decdicrn,FDB029385,53481669
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",,,Decenoyl Carnitine,c101crn,GOOOCIIXFLVRAG-UHFFFAOYSA-N,"InChI=1S/C17H31NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h5,15H,1,6-14H2,2-4H3",,,Increased,0.02 - 0.16,,0.06 - 0.45,,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,c101crn,,53481651
Medium Chain Acyl-Coenzyme A Dehydrogenase Deficiency,MCAD,Inherited metabolic disorder,"Increase C8/C10 and C10:1 in blood, increased medium chain dicarboxylic acids in urine","Classic MCAD deficiency and Mild MCAD deficiency. Iafolla et al. (1994) -survivors have a risk of developmental disability, chronic muscle weakness, failure to thrive, and 'cerebral palsy.'","Liver, nervous system",,,Decenoyl Carnitine,c101crn,GOOOCIIXFLVRAG-UHFFFAOYSA-N,"InChI=1S/C17H31NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h5,15H,1,6-14H2,2-4H3",,,Increased,0.02 - 0.16,"189, 307, 336, 345",0.18 - 1.00,,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,c101crn,,53481651
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",77086,"Human Metabolome Database (HMDB): Dodecanoylcarnitine is an acylcarnitine is present in fatty acid oxidation disorders such as long-chain acyl CoA dehydrogenase deficiency, carnitine palmitoyltransferase I deficiency, and carnitine palmitoyltransferase II deficiency (PMID 12828998). Moreover, dodecanoylcarnitine is found to be associated with celiac disease, which is also an inborn error of metabolism.",Lauroyl Carnitine,ddeccrn,FUJLYHJROOYKRA-QGZVFWFLSA-N,"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/t17-/m1/s1",,,Increased,0.04  - 0.35,,0.32 - 3.20,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0002250,ddeccrn,FDB022928,168381
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",77086,"Human Metabolome Database (HMDB): Dodecanoylcarnitine is an acylcarnitine is present in fatty acid oxidation disorders such as long-chain acyl CoA dehydrogenase deficiency, carnitine palmitoyltransferase I deficiency, and carnitine palmitoyltransferase II deficiency (PMID 12828998). Moreover, dodecanoylcarnitine is found to be associated with celiac disease, which is also an inborn error of metabolism.",Lauroyl Carnitine,ddeccrn,FUJLYHJROOYKRA-QGZVFWFLSA-N,"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/t17-/m1/s1",,,Increased,0.04  - 0.35,,0.12 - 1.20,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0002250,ddeccrn,FDB022928,168381
Trifunctional Protein Deficiency,TFPD,Inherited metabolic disorder,"In urine-increased levels of 3-hydroxydicarboxylic acid, 3-hydroxysuberic acid, dicarboxylic acids. Decreased activity of the enzyme in fibroblast.",Clinically distinguished into 2 forms- 1) infancy and 2) early childhood forms. (http://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coenzyme-a-dehydrogenase-deficiency),"Muscle, liver, eye, nervous system",77086,"Human Metabolome Database (HMDB): Dodecanoylcarnitine is an acylcarnitine is present in fatty acid oxidation disorders such as long-chain acyl CoA dehydrogenase deficiency, carnitine palmitoyltransferase I deficiency, and carnitine palmitoyltransferase II deficiency (PMID 12828998). Moreover, dodecanoylcarnitine is found to be associated with celiac disease, which is also an inborn error of metabolism.",Lauroyl Carnitine,ddeccrn,FUJLYHJROOYKRA-QGZVFWFLSA-N,"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/t17-/m1/s1",,,Increased,0.04  - 0.35,,0.12 - 1.20,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0002250,ddeccrn,FDB022928,168381
Very Long-Chain Acyl-Coenzyme A Dehydrogenase (VLCAD) Deficiency,VLCAD,Inherited metabolic disorder,"In blood- decreased glucose and ph, increased oleoylcarnitine (C18:1), palmitoylcarnitine (C16), tetradecadienoylcarnitine (C14:2), tetradecanoylcarnitine (C14), tetradecenoylcarnitine (C14:1). Decreased activity of very-long-chain acyl-CoA dehydrogenase in fibroblast. In plasma- increased long chain acyl carnitines, tetradecenoic acid. In urine- increased 3-Hydroxyadipic acid, adipic acid, dicarboxylic acids , suberic acid, and Mb.","3 forms-1) severe, early-onset, cardiac and multi-organ failure form typically presents in the first months of life, 2) hepatic or hypoketotic hypoglycemic form typically presents during early childhood, 3) later-onset episodic myopathic form presents with intermittent rhabdomyolysis, muscle cramps and/or pain, and/or exercise intolerance. Hypoglycemia typically is not present at the time of symptoms.","Nervous system, muscle, liver, heart",77086,"Human Metabolome Database (HMDB): Dodecanoylcarnitine is an acylcarnitine is present in fatty acid oxidation disorders such as long-chain acyl CoA dehydrogenase deficiency, carnitine palmitoyltransferase I deficiency, and carnitine palmitoyltransferase II deficiency (PMID 12828998). Moreover, dodecanoylcarnitine is found to be associated with celiac disease, which is also an inborn error of metabolism.",Lauroyl Carnitine,ddeccrn,FUJLYHJROOYKRA-QGZVFWFLSA-N,"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/t17-/m1/s1",,,Increased,0.04  - 0.35,,0.33 - 1.20,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0002250,ddeccrn,FDB022928,168381
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",,,Dodecenoyl Carnitine,ddece1crn,ZBZBZKZOFHGNRD-KHPPLWFESA-N,"InChI=1S/C19H35NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(20(2,3)4)15-16-18(21)22/h10-11,17H,5-9,12-16H2,1-4H3/b11-10-",,,Increased,0.015 -  0.255,,0.08 - 1.580,,[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,ddece1crn,,
Very Long-Chain Acyl-Coenzyme A Dehydrogenase (VLCAD) Deficiency,VLCAD,Inherited metabolic disorder,"In blood- decreased glucose and ph, increased oleoylcarnitine (C18:1), palmitoylcarnitine (C16), tetradecadienoylcarnitine (C14:2), tetradecanoylcarnitine (C14), tetradecenoylcarnitine (C14:1). Decreased activity of very-long-chain acyl-CoA dehydrogenase in fibroblast. In plasma- increased long chain acyl carnitines, tetradecenoic acid. In urine- increased 3-Hydroxyadipic acid, adipic acid, dicarboxylic acids , suberic acid, and Mb.","3 forms-1) severe, early-onset, cardiac and multi-organ failure form typically presents in the first months of life, 2) hepatic or hypoketotic hypoglycemic form typically presents during early childhood, 3) later-onset episodic myopathic form presents with intermittent rhabdomyolysis, muscle cramps and/or pain, and/or exercise intolerance. Hypoglycemia typically is not present at the time of symptoms.","Nervous system, muscle, liver, heart",,,Dodecenoyl Carnitine,ddece1crn,ZBZBZKZOFHGNRD-KHPPLWFESA-N,"InChI=1S/C19H35NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(20(2,3)4)15-16-18(21)22/h10-11,17H,5-9,12-16H2,1-4H3/b11-10-",,,Increased,0.015 -  0.255,,0.145 - 0.68,,[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,ddece1crn,,
Medium Chain Acyl-Coenzyme A Dehydrogenase Deficiency,MCAD,Inherited metabolic disorder,"Increase C8/C10 and C10:1 in blood, increased medium chain dicarboxylic acids in urine","Classic MCAD deficiency and Mild MCAD deficiency. Iafolla et al. (1994) -survivors have a risk of developmental disability, chronic muscle weakness, failure to thrive, and 'cerebral palsy.'","Liver, nervous system",18102,"Human Metabolome Database (HMDB): L-Octanoylcarnitine is the physiologically active form of octanoylcarnitine (PMID 11274033). Octanoylcarnitine is detected in medium-chain acyl-CoA dehydrogenase (MCAD) deficiency. MCAD is characterized by intolerance to prolonged fasting, recurrent episodes of hypoglycemic coma with medium-chain dicarboxylic aciduria, impaired ketogenesis, and low plasma and tissue carnitine levels (OMIM 201450). L-Octanoylcarnitine is also found to be associated with celiac disease and glutaric aciduria II, which are inborn errors of metabolism.",L-Octanoylcarnitine,c8crn,CXTATJFJDMJMIY-CYBMUJFWSA-N,"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/t13-/m1/s1",C02838,25243-95-2,Increased,0.02 - 0.18,"189, 316, 336, 307",1.1 - 23.00,L-OCTANOYLCARNITINE,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000791,c8crn,FDB022246,11953814
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",18102,"Human Metabolome Database (HMDB): L-Octanoylcarnitine is the physiologically active form of octanoylcarnitine (PMID 11274033). Octanoylcarnitine is detected in medium-chain acyl-CoA dehydrogenase (MCAD) deficiency. MCAD is characterized by intolerance to prolonged fasting, recurrent episodes of hypoglycemic coma with medium-chain dicarboxylic aciduria, impaired ketogenesis, and low plasma and tissue carnitine levels (OMIM 201450). L-Octanoylcarnitine is also found to be associated with celiac disease and glutaric aciduria II, which are inborn errors of metabolism.",L-Octanoylcarnitine,c8crn,CXTATJFJDMJMIY-CYBMUJFWSA-N,"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/t13-/m1/s1",C02838,25243-95-2,Increased,0.02 - 0.18,,0.12 - 2.25,L-OCTANOYLCARNITINE,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000791,c8crn,FDB022246,11953814
HMG-Coenzyme A Lyase Deficiency,HMG,Inherited metabolic disorder,"3-methylglutaconic acid increased, C6DC increased in blood, in urine-increased 3-methylglutaconic acid, adipic acid, 3-methyl glutaryl acid etc.",,"Liver, pancreas",68568,,Adipoyl Carnitine,c6dc,BSVHAXJKBCWVDA-UHFFFAOYSA-M,"InChI=1S/C13H23NO6/c1-14(2,3)9-10(8-12(17)18)20-13(19)7-5-4-6-11(15)16/h10H,4-9H2,1-3H3,(H-,15,16,17,18)/p-1",,,Increased,0.02 - 0.17,1000,0.08 - 0.85,,[H]C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([O-])=O,HMDB0061677,c6dc,,71296139
Medium Chain Acyl-Coenzyme A Dehydrogenase Deficiency,MCAD,Inherited metabolic disorder,"Increase C8/C10 and C10:1 in blood, increased medium chain dicarboxylic acids in urine","Classic MCAD deficiency and Mild MCAD deficiency. Iafolla et al. (1994) -survivors have a risk of developmental disability, chronic muscle weakness, failure to thrive, and 'cerebral palsy.'","Liver, nervous system",68830,"Human Metabolome Database (HMDB): Decanoylcarnitine, is a member of the class of compounds known as acyl carnitines. Acyl carnitines are organic compounds containing a fatty acid with the carboxylic acid attached to carnitine through an ester bond. Thus, decanoylcarnitine is considered to be a fatty ester lipid molecule. Decanoylcarnitine is practically insoluble (in water) and a weakly acidic compound (based on its pKa). Decanoylcarnitine can be found primarily in blood, feces, and urine. Within the cell, decanoylcarnitine is primarily located in the membrane. It can also be found in the extracellular space. Acyl carnitines are useful in the diagnosis of genetic disorders such as fatty acid oxidation disorders and differentiation between biochemical phenotypes of medium-chain acyl-CoA dehydrogenase (MCAD) deficiency (PMID: 12385891). Moreover, decanoylcarnitine is found to be associated with very long chain acyl-CoA dehydrogenase (VLAD) deficiency, glutaric aciduria II, and celiac disease, which are inborn errors of metabolism.",Decanoylcarnitine,c10crn,LZOSYCMHQXPBFU-UHFFFAOYSA-N,"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3",,1492-27-9,Increased,0.027 - 0.25,"189, 307, 336",0.235 - 1.90,PALMITOYL-CARNITINE,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000651,c10crn,FDB022162,10245190
